date,time,Basin,Squarical,group,ph.mV,ph.nbs,temp.C,sal.psu,par,flow.mL5s,tris.date,Notes,
07/10/2023,19:00,1,,Ambient,-61.5,8.08,26.8,36.44,,,07/10/2023,"Par taken with Hobbos on 07/10/23, only tanks 1 and 2 were being used at this time, The Tris calibration was done on 07/10/23 and 07/11/23",
,,,1,Ambient,-61.3,8.07,26.6,36.47,,33,07/10/2023,,
,,,2,Ambient,-61.1,8.07,26.6,36.47,,49,07/10/2023,,
,,,3,Ambient,-61.6,8.06,26.7,36.46,,50,07/10/2023,,
,,,4,Ambient,-60.5,8.06,26.6,36.54,,47.5,07/10/2023,,
,,2,,Heated,-59.8,8.01,30.3,36.55,,,07/10/2023,,
,,,5,Heated,-59,8.01,30.4,36.49,,48,07/10/2023,,
,,,6,Heated,-56.5,7.95,30.1,36.25,,50,07/10/2023,,
,,,7,Heated,-59.8,8.02,30.2,36.55,,47.5,07/10/2023,,
,,,8,Heated,-58.5,8,30.2,36.45,,47.5,07/10/2023,,
07/11/2023,7:18,1,,Ambient,,,,,,,,Temp for Basin 1 were found to be 23 due to the temp probe being out of the water in the basin. The issue was observed @ 2:43 and resloved an hour later.,
,,,1,Ambient,-60.8,8.05,27.6,36.5,,47.5,07/10/2023,,
,,,2,Ambient,-60.8,8.05,27.6,36.5,,50,07/10/2023,,
,,,3,Ambient,-60.5,8.05,27.6,36.33,,50,07/10/2023,,
,,,4,Ambient,-60.1,8.04,27.6,36.26,,49,07/10/2023,,
,,2,,Heated,,,,,,,,,
,,,5,Heated,-58.7,8.01,29.6,36.56,,50,07/10/2023,,
,,,6,Heated,-59.4,8.03,29.6,36.35,,47,07/10/2023,,
,,,7,Heated,-59.2,8.02,29.6,36.57,,50,07/10/2023,,
,,,8,Heated,-58.9,8.01,29.6,36.54,,50,07/10/2023,,
7/12/2023,13:32,1,,Ambient,,,,,,,,,
,,,1,Ambient,-58.3,8,27.7,36.48,,49,07/10/2023,,
,,,2,Ambient,-59.8,8.03,27.7,36.5,,48,07/10/2023,,
,,,3,Ambient,-60.5,8.04,27.7,36.56,,50,07/10/2023,,
,,,4,Ambient,-60.4,8.04,27.6,36.5,,43,07/10/2023,,
,,2,,Heated,,,,,,,,,
,,,5,Heated,-60.4,8.04,30.6,36.55,,47.5,07/10/2023,,
,,,6,Heated,-60.3,8.03,30.7,36.5,,43,07/10/2023,,
,,,7,Heated,-60,8.03,30.7,36.52,,47.5,07/10/2023,,
,,,8,Heated,-60.2,8.03,30.8,36.53,,47.5,07/10/2023,,
,,3,,Heated,,,,,,,,,
,,,9,Heated,-61.1,8.02,30.6,36.47,,50,07/10/2023,,
,,,10,Heated,-60,8.03,30.7,36.48,,47.5,07/10/2023,,
,,,11,Heated,-59.7,8.02,30.7,36.48,,50,07/10/2023,,
,,,12,Heated,-59.6,8.02,30.7,36.48,,47.5,07/10/2023,,
,,4,,Ambient,,,,,,,,,
,,,13,Ambient,-60.4,8.04,28.7,36.56,,47.5,07/10/2023,,
,,,14,Ambient,-60.5,8.04,28.7,36.46,,47.5,07/10/2023,,
,,,15,Ambient,-60.4,8.05,28.7,36.45,,50,07/10/2023,,
,,,16,Ambient,-61.1,8.05,28.6,36.45,,49,07/10/2023,,
7/13/2023,13:24,1,,Ambient,,,,,,,,,
,,,1,Ambient,-60.5,8.04,27.6,36.67,450,,07/10/2023,,
,,,2,Ambient,-60.5,8.05,27.6,36.72,320,,07/10/2023,,
,,,3,Ambient,-60.8,8.06,27.6,36.72,545,,07/10/2023,,
,,,4,Ambient,-61.2,8.07,27.6,36.72,540,,07/10/2023,,
,,2,,Heated,,,,,,,,,
,,,5,Heated,-61.4,8.04,30.3,36.76,420,,07/10/2023,,
