Date,TimeStart,TimeEnd,Sample.ID,Chamber.ID,SDR,Type,Salinity,Plate,Run,Volume,Org.Number,Notes
20230712,2112,2318,1,A1,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,7,B1,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,13,C1,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,19,D1,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,2,A2,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,8,B2,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,14,C2,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,20,D2,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,3,A3,641,Blank,36.5,1,1,4,20,Test
20230712,2112,2318,9,B3,641,Sample,36.5,1,1,4,20,Test
20230712,2112,2318,15,C3,641,Sample,36.5,1,1,4,20,Test
20230712,2112,2318,21,D3,641,Sample,36.5,1,1,4,20,Test
20230712,2112,2318,4,A4,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,10,B4,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,16,C4,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,22,D4,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,5,A5,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,11,B5,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,17,C5,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,23,D5,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,6,A6,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,12,B6,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,18,C6,641,NA,36.5,1,1,NA,NA,
20230712,2112,2318,24,D6,641,NA,36.5,1,1,NA,NA,
