Measurement Name :,7192023R_run14,,Generated On :,"19/07/2023, 18:55:45",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
"
Start Date/Time:,"19/07/2023, 18:18:29",,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,
End Date/Time:,"19/07/2023, 18:54:47",,,,,,O2_cal0 [°],54.55,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,
SDR Serial No. :,S-1054,,,,,,O2_T0 [°C],24.6,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.6,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date/Time,Time/Min.,C2,C3,D5,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error,,,,
19.07.23 18:18:32,0.05,219.65,181.12,223.89,,27,969,36.5,28.14,,,,,
19.07.23 18:18:47,0.3,220.63,175.92,223.56,,27,969,36.5,28.11,,,,,
19.07.23 18:19:02,0.55,219.65,170.45,224.21,,27,969,36.5,28.05,,,,,
19.07.23 18:19:17,0.8,220.3,170.75,224.21,,27,969,36.5,28.01,,,,,
19.07.23 18:19:32,1.05,217.06,165.93,223.23,,27,969,36.5,28,,,,,
19.07.23 18:19:47,1.3,215.12,171.36,226.18,,27,969,36.5,27.97,,,,,
19.07.23 18:20:02,1.55,211.58,163.83,221.93,,27,969,36.5,27.93,,,,,
19.07.23 18:20:17,1.8,211.58,164.13,225.19,,27,969,36.5,27.9,,,,,
