Measurement Name :,7212023P_run20,,Generated On :,"21/07/2023, 18:03:21",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,
Start Date/Time:,"21/07/2023, 17:26:54",,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,,,
End Date/Time:,"21/07/2023, 18:02:32",,,,,,O2_cal0 [°],54.55,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,,,
SDR Serial No. :,S-1054,,,,,,O2_T0 [°C],24.6,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.6,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,B1,B2,B3,B4,B5,B6,C1,C2,C3,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
21.07.23 17:26:56,0.03,161.45,166.76,154.52,146.58,174.68,171.56,166.76,176.97,190.25,,30,969,36.5,27.08,
21.07.23 17:27:11,0.28,158.67,159.5,160.89,138.2,176.97,181.84,157,197.59,161.17,,30,969,36.5,27.15,
21.07.23 17:27:26,0.53,156.17,157.28,156.45,140.08,169.3,169.86,185.31,203.82,185.02,,30,969,36.5,27.24,
21.07.23 17:27:41,0.78,148.48,162,159.22,141.97,177.82,161.73,165.92,198.47,184.15,,30,969,36.5,27.33,
21.07.23 17:27:56,1.03,134.72,172.7,149.3,147.67,167.61,166.76,170.99,192.59,186.18,,30,969,36.5,27.43,
21.07.23 17:28:11,1.28,154.52,167.61,155.62,139,168.74,173.83,158.11,218.29,189.37,,30,969,36.5,27.53,
21.07.23 17:28:26,1.53,153.69,152.59,145.76,144.67,158.11,163.4,158.11,191.42,194.05,,30,969,36.5,27.64,
21.07.23 17:28:41,1.78,170.15,165.92,147.12,135.52,176.11,159.78,179.26,183.28,184.44,,30,969,36.5,27.72,
21.07.23 17:28:56,2.03,170.99,154.52,153.69,149.85,171.56,175.82,174.68,193.17,206.51,,30,969,36.5,27.8,
21.07.23 17:29:11,2.28,171.84,162.84,178.11,147.67,174.4,182.71,185.6,211.32,207.71,,30,969,36.5,27.9,
21.07.23 17:29:26,2.53,146.85,138.2,144.95,146.3,167.61,165.64,195.52,161.17,187.34,,30,969,36.5,27.97,
21.07.23 17:29:41,2.78,176.4,159.22,161.17,148.76,186.76,183.57,166.2,179.26,197.29,,30,969,36.5,28.05,
