Measurement Name :,7212023P_run19,,,,,,,,Generated On :,"21/07/2023, 16:12:15",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
Start Date/Time:,"21/07/2023, 15:39:00",,,,,,,,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,,,,,,,,,,,
End Date/Time:,"21/07/2023, 16:11:37",,,,,,,,,,,,O2_cal0 [°],54.55,,,,,,,,,,,,,,,,
User Comment :,0,,,,,,,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,,,,,,,,,,,
SDR Serial No. :,S-1054,,,,,,,,,,,,O2_T0 [°C],24.6,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,,,,,,,O2_T2nd [°C],24.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
21.07.23 15:39:02,0.03,125,125,125,125,125,125,40.12,61.41,63.21,84.2,111.1,49.67,56.28,82.87,225.19,125,125,125,125,125,125,125,125,125,27,969,36.5,29.21,
21.07.23 15:39:17,0.28,124,124,124,124,124,124,61.15,74.41,64.76,84.2,132.5,59.86,60.38,72.57,220.3,124,124,124,124,124,124,124,124,124,27,969,36.5,29.13,
21.07.23 15:39:32,0.53,126,126,126,126,126,126,55.77,53.47,68.92,91.7,103.66,54.24,57.3,84.46,228.8,126,126,126,126,126,126,126,126,126,27,969,36.5,29.07,
21.07.23 15:39:47,0.78,125,125,125,125,125,125,60.38,61.67,54.24,85.26,99.28,64.25,50.68,88.74,227.49,125,125,125,125,125,125,125,125,125,27,969,36.5,29.04,
21.07.23 15:40:02,1.03,127,127,127,127,127,127,48.91,69.7,67.62,80.21,109.72,66.06,57.04,81.8,221.93,127,127,127,127,127,127,127,127,127,27,969,36.5,29.04,
21.07.23 15:40:17,1.28,126,126,126,126,126,126,47.9,67.36,49.92,81.01,107.51,48.65,72.05,63.73,195.08,126,126,126,126,126,126,126,126,126,27,969,36.5,29.04,
21.07.23 15:40:32,1.53,128,128,128,128,128,128,60.12,70.48,55.77,86.87,105.3,66.58,74.15,57.81,215.76,128,128,128,128,128,128,128,128,128,27,969,36.5,29.07,
21.07.23 15:40:47,1.78,127,127,127,127,127,127,66.58,85.8,60.64,96.29,98.19,61.92,61.15,73.36,214.47,127,127,127,127,127,127,127,127,127,27,969,36.5,29.08,
21.07.23 15:41:02,2.03,129,129,129,129,129,129,29.72,37.63,51.95,74.67,83.13,51.19,43.12,38.87,274.34,129,129,129,129,129,129,129,129,129,27,969,36.5,29.1,
21.07.23 15:41:17,2.28,128,128,128,128,128,128,51.19,57.3,49.41,74.94,95.75,49.41,49.16,62.96,236.08,128,128,128,128,128,128,128,128,128,27,969,36.5,29.11,
21.07.23 15:41:32,2.53,130,130,130,130,130,130,54.75,68.66,50.42,81.27,105.85,66.84,57.81,44.37,203.28,130,130,130,130,130,130,130,130,130,27,969,36.5,29.11,
21.07.23 15:41:47,2.78,129,129,129,129,129,129,73.1,62.7,59.61,74.94,115.27,53.47,60.89,48.91,231.11,129,129,129,129,129,129,129,129,129,27,969,36.5,29.14,
21.07.23 15:42:02,3.03,131,131,131,131,131,131,43.62,66.06,41.37,79.15,85.8,56.79,55.26,40.87,207.1,131,131,131,131,131,131,131,131,131,27,969,36.5,29.15,
21.07.23 15:42:17,3.28,130,130,130,130,130,130,45.88,69.96,24.58,72.57,102.29,57.81,36.63,63.99,253.59,130,130,130,130,130,130,130,130,130,27,969,36.5,29.16,
21.07.23 15:42:32,3.53,132,132,132,132,132,132,42.37,57.81,46.38,73.36,101.19,51.44,45.13,67.62,206.14,132,132,132,132,132,132,132,132,132,27,969,36.5,29.18,
21.07.23 15:42:47,3.78,131,131,131,131,131,131,60.89,55,41.62,70.74,101.74,46.13,52.2,49.41,217.7,131,131,131,131,131,131,131,131,131,27,969,36.5,29.21,
21.07.23 15:43:02,4.03,133,133,133,133,133,133,46.38,68.4,59.35,74.94,107.51,50.42,75.72,42.37,203.6,133,133,133,133,133,133,133,133,133,27,969,36.5,29.22,
21.07.23 15:43:17,4.28,132,132,132,132,132,132,44.87,69.7,43.62,76.25,111.38,57.56,49.67,71.53,222.58,132,132,132,132,132,132,132,132,132,27,969,36.5,29.24,
21.07.23 15:43:32,4.53,134,134,134,134,134,134,65.02,55.26,55.51,78.62,106.4,65.28,56.28,52.96,233.43,134,134,134,134,134,134,134,134,134,27,969,36.5,29.24,
21.07.23 15:43:47,4.78,133,133,133,133,133,133,63.99,57.81,43.12,68.14,109.16,49.67,41.87,53.98,221.93,133,133,133,133,133,133,133,133,133,27,969,36.5,29.24,
21.07.23 15:44:02,5.03,135,135,135,135,135,135,51.44,61.15,39.87,71.01,98.47,49.41,60.12,58.84,240.75,135,135,135,135,135,135,135,135,135,27,969,36.5,29.26,
21.07.23 15:44:17,5.28,134,134,134,134,134,134,48.65,67.62,50.42,77.04,108.06,57.81,56.53,60.64,235.08,134,134,134,134,134,134,134,134,134,27,969,36.5,29.26,
21.07.23 15:44:32,5.53,136,136,136,136,136,136,63.73,75.99,52.96,74.41,95.48,57.56,55.26,39.12,237.08,136,136,136,136,136,136,136,136,136,27,969,36.5,29.28,
21.07.23 15:44:47,5.78,135,135,135,135,135,135,36.88,63.99,38.87,63.47,98.47,45.13,49.16,46.64,206.14,135,135,135,135,135,135,135,135,135,27,969,36.5,29.29,
21.07.23 15:45:02,6.03,137,137,137,137,137,137,63.47,65.8,52.71,64.76,114.44,64.76,49.67,62.18,232.43,137,137,137,137,137,137,137,137,137,27,969,36.5,29.3,
21.07.23 15:45:17,6.28,136,136,136,136,136,136,40.12,67.88,42.87,61.41,96.56,49.67,55.77,37.63,211.58,136,136,136,136,136,136,136,136,136,27,969,36.5,29.3,
21.07.23 15:45:32,6.53,138,138,138,138,138,138,49.41,64.76,42.12,58.07,98.19,43.62,48.4,47.9,222.91,138,138,138,138,138,138,138,138,138,27,969,36.5,29.3,
21.07.23 15:45:47,6.78,137,137,137,137,137,137,46.38,61.67,61.41,67.36,101.74,71.53,46.13,58.84,236.75,137,137,137,137,137,137,137,137,137,27,969,36.5,29.32,
21.07.23 15:46:02,7.03,139,139,139,139,139,139,66.84,56.28,45.88,69.7,97.92,73.89,44.12,61.67,217.38,139,139,139,139,139,139,139,139,139,27,969,36.5,29.33,
21.07.23 15:46:17,7.28,138,138,138,138,138,138,39.62,56.79,42.37,63.99,102.29,42.37,28.98,51.44,222.58,138,138,138,138,138,138,138,138,138,27,969,36.5,29.33,
21.07.23 15:46:32,7.53,140,140,140,140,140,140,39.37,51.19,47.14,64.76,100.1,58.58,43.37,44.37,258.72,140,140,140,140,140,140,140,140,140,27,969,36.5,29.33,
21.07.23 15:46:47,7.78,139,139,139,139,139,139,48.15,84.73,48.91,61.15,87.4,51.44,53.98,52.45,225.52,139,139,139,139,139,139,139,139,139,27,969,36.5,29.33,
21.07.23 15:47:02,8.03,141,141,141,141,141,141,43.87,82.6,36.38,57.56,82.87,59.35,52.96,64.25,268.05,141,141,141,141,141,141,141,141,141,27,969,36.5,29.33,
21.07.23 15:47:17,8.28,140,140,140,140,140,140,48.65,55.26,44.37,50.17,99.83,40.12,54.24,38.12,214.15,140,140,140,140,140,140,140,140,140,27,969,36.5,29.35,
21.07.23 15:47:32,8.53,142,142,142,142,142,142,50.68,59.61,36.63,55,94.94,40.62,40.62,51.95,243.1,142,142,142,142,142,142,142,142,142,27,969,36.5,29.35,
21.07.23 15:47:47,8.78,141,141,141,141,141,141,48.15,59.86,37.13,58.58,95.48,55,50.93,43.62,215.44,141,141,141,141,141,141,141,141,141,27,969,36.5,29.36,
21.07.23 15:48:02,9.03,143,143,143,143,143,143,60.12,62.44,41.12,55.26,91.7,52.96,52.71,56.02,236.75,143,143,143,143,143,143,143,143,143,27,969,36.5,29.35,
21.07.23 15:48:17,9.28,142,142,142,142,142,142,52.45,55.77,38.12,70.74,101.47,59.61,48.65,45.88,223.23,142,142,142,142,142,142,142,142,142,27,969,36.5,29.35,
21.07.23 15:48:32,9.53,144,144,144,144,144,144,32.43,53.22,47.39,63.47,116.39,52.2,45.38,59.86,228.15,144,144,144,144,144,144,144,144,144,27,969,36.5,29.35,
21.07.23 15:48:47,9.78,143,143,143,143,143,143,29.23,61.15,53.73,59.35,98.74,45.38,48.65,60.38,258.03,143,143,143,143,143,143,143,143,143,27,969,36.5,29.35,
21.07.23 15:49:02,10.03,145,145,145,145,145,145,37.63,52.2,61.67,54.49,91.97,66.06,45.38,32.67,225.19,145,145,145,145,145,145,145,145,145,27,969,36.5,29.33,
21.07.23 15:49:17,10.28,144,144,144,144,144,144,45.38,45.13,36.88,51.95,95.75,51.44,55,45.63,212.54,144,144,144,144,144,144,144,144,144,27,969,36.5,29.35,
21.07.23 15:49:32,10.53,146,146,146,146,146,146,41.87,46.89,34.65,61.92,91.97,52.2,53.98,43.37,237.08,146,146,146,146,146,146,146,146,146,27,969,36.5,29.35,
21.07.23 15:49:47,10.78,145,145,145,145,145,145,64.51,36.14,32.67,54.49,80.21,44.87,31.93,25.07,208.7,145,145,145,145,145,145,145,145,145,27,969,36.5,29.35,
21.07.23 15:50:02,11.03,147,147,147,147,147,147,56.53,68.14,43.37,56.79,94.94,68.66,39.37,21.18,219.33,147,147,147,147,147,147,147,147,147,27,969,36.5,29.33,
21.07.23 15:50:17,11.28,146,146,146,146,146,146,37.63,57.04,31.19,47.14,83.66,48.15,46.13,43.37,243.1,146,146,146,146,146,146,146,146,146,27,969,36.5,29.33,
21.07.23 15:50:32,11.53,148,148,148,148,148,148,37.88,59.09,40.12,57.81,94.13,41.12,51.44,37.63,221.93,148,148,148,148,148,148,148,148,148,27,969,36.5,29.33,
21.07.23 15:50:47,11.78,147,147,147,147,147,147,32.43,58.33,34.9,46.13,84.2,38.12,19.48,42.12,192.89,147,147,147,147,147,147,147,147,147,27,969,36.5,29.33,
21.07.23 15:51:02,12.03,149,149,149,149,149,149,40.12,57.3,42.62,66.84,87.13,52.45,40.87,41.37,205.19,149,149,149,149,149,149,149,149,149,27,969,36.5,29.33,
21.07.23 15:51:17,12.28,148,148,148,148,148,148,40.87,71.79,41.12,48.4,91.16,50.68,40.12,51.44,206.78,148,148,148,148,148,148,148,148,148,27,969,36.5,29.33,
21.07.23 15:51:32,12.53,150,150,150,150,150,150,52.2,57.04,38.12,55.51,85.8,58.07,42.87,38.37,224.87,150,150,150,150,150,150,150,150,150,27,969,36.5,29.32,
21.07.23 15:51:47,12.78,149,149,149,149,149,149,43.37,36.88,29.96,52.71,86.6,48.15,32.67,41.37,235.08,149,149,149,149,149,149,149,149,149,27,969,36.5,29.33,
21.07.23 15:52:02,13.03,151,151,151,151,151,151,47.39,56.28,42.37,63.21,91.7,57.81,45.63,52.71,204.87,151,151,151,151,151,151,151,151,151,27,969,36.5,29.32,
21.07.23 15:52:17,13.28,150,150,150,150,150,150,31.19,62.7,37.88,54.49,81.01,45.63,34.4,18.03,225.19,150,150,150,150,150,150,150,150,150,27,969,36.5,29.32,
21.07.23 15:52:32,13.53,152,152,152,152,152,152,48.15,65.54,34.16,48.65,77.04,39.87,52.2,34.65,214.15,152,152,152,152,152,152,152,152,152,27,969,36.5,29.3,
21.07.23 15:52:47,13.78,151,151,151,151,151,151,38.12,56.79,33.41,42.37,87.4,48.15,34.9,45.88,222.91,151,151,151,151,151,151,151,151,151,27,969,36.5,29.29,
21.07.23 15:53:02,14.03,153,153,153,153,153,153,55.51,50.68,51.69,55.26,93.32,64.25,49.67,42.12,251.2,153,153,153,153,153,153,153,153,153,27,969,36.5,29.29,
21.07.23 15:53:17,14.28,152,152,152,152,152,152,48.91,62.18,55.51,50.42,102.83,52.96,34.9,50.68,249.51,152,152,152,152,152,152,152,152,152,27,969,36.5,29.28,
21.07.23 15:53:32,14.53,154,154,154,154,154,154,60.38,48.91,57.04,50.17,109.99,51.69,37.88,65.28,224.54,154,154,154,154,154,154,154,154,154,27,969,36.5,29.28,
21.07.23 15:53:47,14.78,153,153,153,153,153,153,45.38,42.37,35.15,47.39,83.13,42.87,50.93,28.98,248.49,153,153,153,153,153,153,153,153,153,27,969,36.5,29.28,
21.07.23 15:54:02,15.03,155,155,155,155,155,155,48.91,64.51,48.65,45.88,86.06,48.91,42.12,28.49,237.74,155,155,155,155,155,155,155,155,155,27,969,36.5,29.26,
21.07.23 15:54:17,15.28,154,154,154,154,154,154,49.67,61.15,29.47,58.84,87.4,52.45,35.39,29.96,241.09,154,154,154,154,154,154,154,154,154,27,969,36.5,29.26,
21.07.23 15:54:32,15.53,156,156,156,156,156,156,41.87,58.58,39.37,54.24,84.73,46.89,47.39,45.63,232.1,156,156,156,156,156,156,156,156,156,27,969,36.5,29.26,
21.07.23 15:54:47,15.78,155,155,155,155,155,155,39.37,63.47,30.7,57.56,91.16,52.96,47.64,32.67,240.42,155,155,155,155,155,155,155,155,155,27,969,36.5,29.25,
21.07.23 15:55:02,16.03,157,157,157,157,157,157,40.37,54.24,42.87,48.4,99.01,55,40.12,34.9,224.21,157,157,157,157,157,157,157,157,157,27,969,36.5,29.24,
21.07.23 15:55:17,16.28,156,156,156,156,156,156,51.19,57.04,37.38,48.4,87.4,58.07,36.63,43.37,233.09,156,156,156,156,156,156,156,156,156,27,969,36.5,29.25,
21.07.23 15:55:32,16.53,158,158,158,158,158,158,59.86,71.79,33.66,55.77,79.95,44.12,55,28.25,204.87,158,158,158,158,158,158,158,158,158,27,969,36.5,29.24,
21.07.23 15:55:47,16.78,157,157,157,157,157,157,52.71,38.87,38.37,49.41,87.13,39.87,37.63,32.18,208.38,157,157,157,157,157,157,157,157,157,27,969,36.5,29.24,
21.07.23 15:56:02,17.03,159,159,159,159,159,159,54.49,50.42,40.12,58.07,87.13,56.79,33.66,62.18,253.59,159,159,159,159,159,159,159,159,159,27,969,36.5,29.22,
21.07.23 15:56:17,17.28,158,158,158,158,158,158,63.99,47.9,46.13,48.65,97.38,52.71,47.14,29.47,240.75,158,158,158,158,158,158,158,158,158,27,969,36.5,29.22,
21.07.23 15:56:32,17.53,160,160,160,160,160,160,48.91,41.12,26.04,49.16,79.95,46.64,45.38,32.92,206.14,160,160,160,160,160,160,160,160,160,27,969,36.5,29.22,
21.07.23 15:56:47,17.78,159,159,159,159,159,159,40.12,59.35,37.63,57.3,89.28,54.24,44.12,38.87,215.44,159,159,159,159,159,159,159,159,159,27,969,36.5,29.22,
21.07.23 15:57:02,18.03,161,161,161,161,161,161,35.64,68.92,32.18,48.15,86.87,37.13,27.76,27.76,219.65,161,161,161,161,161,161,161,161,161,27,969,36.5,29.19,
21.07.23 15:57:17,18.28,160,160,160,160,160,160,68.66,61.67,55,45.38,79.95,72.57,33.41,40.62,219.33,160,160,160,160,160,160,160,160,160,27,969,36.5,29.19,
21.07.23 15:57:32,18.53,162,162,162,162,162,162,39.62,66.84,32.67,45.38,78.36,37.88,29.23,42.37,197.28,162,162,162,162,162,162,162,162,162,27,969,36.5,29.18,
21.07.23 15:57:47,18.78,161,161,161,161,161,161,52.71,60.12,28.25,39.37,87.67,52.71,42.62,37.13,219.65,161,161,161,161,161,161,161,161,161,27,969,36.5,29.18,
21.07.23 15:58:02,19.03,163,163,163,163,163,163,62.44,57.81,47.39,52.71,83.13,44.62,37.88,36.38,209.01,163,163,163,163,163,163,163,163,163,27,969,36.5,29.18,
21.07.23 15:58:17,19.28,162,162,162,162,162,162,43.37,56.79,18.76,42.87,91.97,52.96,34.65,29.72,216.73,162,162,162,162,162,162,162,162,162,27,969,36.5,29.18,
21.07.23 15:58:32,19.53,164,164,164,164,164,164,57.3,60.12,33.41,46.38,82.87,54.49,31.44,25.8,206.46,164,164,164,164,164,164,164,164,164,27,969,36.5,29.15,
21.07.23 15:58:47,19.78,163,163,163,163,163,163,45.13,57.81,46.89,53.22,86.33,53.73,30.7,38.62,224.21,163,163,163,163,163,163,163,163,163,27,969,36.5,29.15,
21.07.23 15:59:02,20.03,165,165,165,165,165,165,62.44,63.99,48.15,44.12,85.26,50.68,40.37,31.93,194.46,165,165,165,165,165,165,165,165,165,27,969,36.5,29.14,
