Measurement Name :,7202023P_run16,,,,,,,,,Generated On :,"20/07/2023, 14:45:47",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,,,,,,,,,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",
Start Date/Time:,"20/07/2023, 14:14:34",,,,,,,,,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,,,,,,,,,,
End Date/Time:,"20/07/2023, 14:45:20",,,,,,,,,,,,,O2_cal0 [°],54.55,,,,,,,,,,,,,,,
User Comment :,0,,,,,,,,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,,,,,,,,,,
SDR Serial No. :,S-1054,,,,,,,,,,,,,O2_T0 [°C],24.6,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,,,,,,,,O2_T2nd [°C],24.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
20.07.23 14:14:36,0.03,125,125,125,125,125,125,125,109.16,151.66,120.03,151.36,96.56,233.43,255.29,211.26,125,125,125,125,125,125,125,125,125,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:14:51,0.28,124,124,124,124,124,124,124,102.29,165.93,129.65,153.13,89.55,250.19,239.41,214.15,124,124,124,124,124,124,124,124,124,27,969,36.5,28.71,969C3-(E1);
20.07.23 14:15:06,0.53,126,126,126,126,126,126,126,94.4,138.54,117.23,161.14,108.06,230.78,206.78,209.65,126,126,126,126,126,126,126,126,126,27,969,36.5,28.68,969D6-(E1);
20.07.23 14:15:21,0.78,125,125,125,125,125,125,125,134.51,160.54,126.52,162.33,142.3,253.93,197.6,222.58,125,125,125,125,125,125,125,125,125,27,969,36.5,28.65,969D6-(E1);
20.07.23 14:15:36,1.03,127,127,127,127,127,127,127,95.48,148.72,129.93,131.36,141.43,236.75,232.76,189.77,127,127,127,127,127,127,127,127,127,27,969,36.5,28.66,969C3-(E1);
20.07.23 14:15:51,1.28,126,126,126,126,126,126,126,107.78,145.8,123.41,172.57,139.12,240.42,210.3,207.1,126,126,126,126,126,126,126,126,126,27,969,36.5,28.65,
20.07.23 14:16:06,1.53,128,128,128,128,128,128,128,95.75,172.87,128.23,145.8,164.43,234.42,216.73,222.25,128,128,128,128,128,128,128,128,128,27,969,36.5,28.68,
20.07.23 14:16:21,1.78,127,127,127,127,127,127,127,115.27,154.31,95.48,138.25,165.63,228.15,214.15,194.14,127,127,127,127,127,127,127,127,127,27,969,36.5,28.69,969D6-(E1);
20.07.23 14:16:36,2.03,129,129,129,129,129,129,129,137.96,163.53,120.87,174.7,183.58,216.09,227.16,262.85,129,129,129,129,129,129,129,129,129,27,969,36.5,28.71,969D6-(E1);
