Measurement Name :,7192023R_run14,,Generated On :,"19/07/2023, 18:17:44",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
"
Start Date/Time:,"19/07/2023, 17:39:30",,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,
End Date/Time:,"19/07/2023, 18:16:10",,,,,,O2_cal0 [°],54.55,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,
SDR Serial No. :,S-1054,,,,,,O2_T0 [°C],24.6,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.6,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date/Time,Time/Min.,C2,C3,D5,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error,,,,
19.07.23 17:39:32,0.03,87.94,134.22,207.74,,27,969,36.5,28.16,,,,,
19.07.23 17:39:48,0.3,105.58,165.33,179.89,,27,969,36.5,28.07,,,,,
19.07.23 17:40:03,0.55,96.02,153.72,286.38,,27,969,36.5,28.01,,,,,
19.07.23 17:40:18,0.8,79.42,118.07,247.14,,27,969,36.5,27.97,,,,,
19.07.23 17:40:33,1.05,115.83,146.38,217.06,,27,969,36.5,27.96,,,,,
19.07.23 17:40:48,1.3,115.83,140.85,198.54,,27,969,36.5,27.97,,,,,
19.07.23 17:41:03,1.55,103.11,142.59,209.65,,27,969,36.5,27.97,,,,,
19.07.23 17:41:18,1.8,91.43,117.51,247.14,,27,969,36.5,27.97,,,,,
19.07.23 17:41:33,2.05,97.92,153.42,266.31,,27,969,36.5,28.01,,,,,
19.07.23 17:41:48,2.3,103.93,135.95,216.73,,27,969,36.5,28.01,,,,,
19.07.23 17:42:03,2.55,74.94,152.54,223.23,,27,969,36.5,28.04,,,,,
19.07.23 17:42:18,2.8,90.35,149.6,287.45,,27,969,36.5,28.05,,,,,
19.07.23 17:42:33,3.05,107.23,181.43,334.36,,27,969,36.5,28.08,,,,,
19.07.23 17:42:48,3.3,94.67,120.31,189.46,,27,969,36.5,28.1,,,,,
19.07.23 17:43:03,3.55,95.75,135.95,201.7,,27,969,36.5,28.1,969C4-(E1);,,,,
19.07.23 17:43:18,3.8,58.07,115.83,245.12,,27,969,36.5,28.11,,,,,
19.07.23 17:43:33,4.05,120.03,155.2,256.32,,27,969,36.5,28.11,,,,,
19.07.23 17:43:48,4.3,71.79,98.74,152.54,,27,969,36.5,28.14,,,,,
19.07.23 17:44:03,4.55,99.83,153.42,260.09,,27,969,36.5,28.15,,,,,
19.07.23 17:44:18,4.8,94.4,138.25,282.11,,27,969,36.5,28.18,,,,,
19.07.23 17:44:33,5.05,64.51,145.8,242.09,,27,969,36.5,28.21,,,,,
19.07.23 17:44:48,5.3,123.41,156.68,293.55,,27,969,36.5,28.22,,,,,
19.07.23 17:45:03,5.55,155.49,132.79,286.38,,27,969,36.5,28.25,969D4-(E1);,,,,
19.07.23 17:45:18,5.8,138.83,139.41,215.12,,27,969,36.5,28.26,,,,,
19.07.23 17:45:33,6.05,124.26,171.96,257.35,,27,969,36.5,28.28,,,,,
19.07.23 17:45:48,6.3,98.47,146.09,220.95,,27,969,36.5,28.29,,,,,
19.07.23 17:46:03,6.55,113.88,134.51,181.73,,27,969,36.5,28.29,,,,,
19.07.23 17:46:18,6.8,81.8,133.08,357.24,,27,969,36.5,28.32,,,,,
19.07.23 17:46:33,7.05,97.38,162.63,236.75,,27,969,36.5,28.33,,,,,
19.07.23 17:46:48,7.3,142.01,154.31,219.33,,27,969,36.5,28.33,,,,,
19.07.23 17:47:03,7.55,133.65,123.41,295.72,,27,969,36.5,28.35,,,,,
19.07.23 17:47:18,7.8,99.28,175.61,229.46,,27,969,36.5,28.36,,,,,
19.07.23 17:47:33,8.05,177.75,149.89,335.89,,27,969,36.5,28.36,,,,,
19.07.23 17:47:48,8.3,139.98,185.12,271.54,,27,969,36.5,28.36,,,,,
19.07.23 17:48:03,8.55,109.44,162.03,190.09,,27,969,36.5,28.39,,,,,
19.07.23 17:48:18,8.8,111.65,133.08,226.5,,27,969,36.5,28.4,,,,,
19.07.23 17:48:33,9.05,105.03,128.51,211.9,,27,969,36.5,28.41,,,,,
19.07.23 17:48:48,9.3,111.93,143.17,209.01,,27,969,36.5,28.43,,,,,
19.07.23 17:49:03,9.55,131.93,156.97,251.2,,27,969,36.5,28.44,,,,,
19.07.23 17:49:18,9.8,118.91,152.83,271.54,,27,969,36.5,28.47,,,,,
19.07.23 17:49:33,10.05,122,146.09,245.45,,27,969,36.5,28.47,,,,,
19.07.23 17:49:48,10.3,145.5,185.12,398.96,,27,969,36.5,28.5,969C3-(E1);,,,,
19.07.23 17:50:03,10.55,147.26,118.07,330.18,,27,969,36.5,28.51,,,,,
19.07.23 17:50:18,10.8,100.37,167.73,229.46,,27,969,36.5,28.51,,,,,
19.07.23 17:50:33,11.05,153.13,170.15,302.99,,27,969,36.5,28.51,,,,,
19.07.23 17:50:48,11.3,113.6,157.27,209.65,,27,969,36.5,28.53,,,,,
19.07.23 17:51:03,11.55,139.12,146.38,185.43,,27,969,36.5,28.54,,,,,
19.07.23 17:51:18,11.8,131.93,174.09,233.09,,27,969,36.5,28.54,,,,,
19.07.23 17:51:33,12.05,96.56,154.31,283.17,,27,969,36.5,28.54,,,,,
19.07.23 17:51:48,12.3,112.21,184.82,232.1,,27,969,36.5,28.55,,,,,
19.07.23 17:52:03,12.55,135.66,140.85,224.21,,27,969,36.5,28.55,,,,,
19.07.23 17:52:18,12.8,144.05,154.01,199.49,,27,969,36.5,28.58,,,,,
19.07.23 17:52:33,13.05,125.67,149.6,208.7,,27,969,36.5,28.57,,,,,
19.07.23 17:52:48,13.3,142.59,167.43,251.2,,27,969,36.5,28.58,,,,,
19.07.23 17:53:03,13.55,107.23,180.81,194.46,,27,969,36.5,28.58,,,,,
19.07.23 17:53:18,13.8,177.44,168.94,244.11,,27,969,36.5,28.58,,,,,
19.07.23 17:53:33,14.05,114.16,161.73,263.89,,27,969,36.5,28.58,,,,,
19.07.23 17:53:48,14.3,141.14,146.96,259.06,,27,969,36.5,28.6,,,,,
19.07.23 17:54:03,14.55,129.08,163.53,265.62,,27,969,36.5,28.58,,,,,
19.07.23 17:54:18,14.8,114.44,142.3,188.84,,27,969,36.5,28.61,,,,,
19.07.23 17:54:33,15.05,120.03,168.94,287.45,,27,969,36.5,28.58,,,,,
19.07.23 17:54:48,15.3,131.65,159.95,186.36,,27,969,36.5,28.6,,,,,
19.07.23 17:55:03,15.55,114.71,201.7,230.78,,27,969,36.5,28.58,,,,,
19.07.23 17:55:18,15.8,138.54,162.03,255.98,,27,969,36.5,28.6,,,,,
19.07.23 17:55:33,16.05,133.65,146.09,259.75,,27,969,36.5,28.58,969D6-(E1);,,,,
19.07.23 17:55:48,16.3,139.98,152.54,239.41,,27,969,36.5,28.58,969D6-(E1);,,,,
19.07.23 17:56:03,16.55,160.54,155.2,297.9,,27,969,36.5,28.58,,,,,
19.07.23 17:56:18,16.8,142.59,161.14,234.09,,27,969,36.5,28.6,,,,,
19.07.23 17:56:33,17.05,138.25,142.88,330.56,,27,969,36.5,28.58,,,,,
19.07.23 17:56:48,17.3,124.82,152.83,218.03,,27,969,36.5,28.58,,,,,
19.07.23 17:57:03,17.55,152.24,147.55,187.6,,27,969,36.5,28.58,,,,,
19.07.23 17:57:18,17.8,81.8,228.15,140.56,,27,969,36.5,28.58,,,,,
19.07.23 17:57:33,18.05,133.94,163.53,284.6,,27,969,36.5,28.58,,,,,
19.07.23 17:57:48,18.3,144.92,158.75,263.54,,27,969,36.5,28.58,,,,,
19.07.23 17:58:03,18.55,142.59,176.83,350.96,,27,969,36.5,28.58,,,,,
19.07.23 17:58:18,18.8,130.79,144.92,240.08,,27,969,36.5,28.55,,,,,
19.07.23 17:58:33,19.05,171.66,175.61,204.23,,27,969,36.5,28.55,,,,,
19.07.23 17:58:48,19.3,160.84,142.88,276.8,,27,969,36.5,28.55,,,,,
19.07.23 17:59:03,19.55,121.72,143.76,227.49,,27,969,36.5,28.54,,,,,
