Measurement Name :,7192023P_13,,,,Generated On :,,,"19/07/2023, 15:58:17",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
19.07.23 15:22:14,3.28,130,130,266.66,243.43,130,130,187.29,165.33,166.83,155.49,176.83,190.71,162.33,190.4,147.84,200.12,130,172.57,130,211.26,227.82,228.15,130,130,27,969,36.5,28.96,
19.07.23 15:22:29,3.53,132,132,255.29,253.25,132,132,189.15,176.83,153.42,172.57,176.83,177.14,168.04,166.83,166.83,196.34,132,189.15,132,246.46,224.54,244.78,132,132,27,969,36.5,29.01,
19.07.23 15:22:44,3.78,131,131,261.13,242.09,131,131,191.64,171.36,159.35,171.96,178.97,185.12,165.33,175.31,157.27,211.26,131,195.71,131,219,219.65,236.08,131,131,27,969,36.5,29.05,
19.07.23 15:22:59,4.03,133,133,269.79,239.75,133,133,187.91,173.79,165.63,184.51,178.05,195.08,171.36,181.12,168.04,197.6,133,196.97,133,213.19,236.41,234.09,133,133,27,969,36.5,29.11,
19.07.23 15:23:14,4.28,132,132,264.58,234.42,132,132,193.83,189.77,164.13,181.12,156.97,184.82,168.34,187.29,165.93,199.17,132,172.87,132,221.6,238.41,226.83,132,132,27,969,36.5,29.15,
19.07.23 15:23:29,4.53,134,134,261.82,253.25,134,134,176.83,196.34,145.8,172.57,178.36,179.89,188.53,187.29,158.46,187.6,134,180.5,134,242.43,222.58,236.75,134,134,27,969,36.5,29.19,
19.07.23 15:23:44,4.78,133,133,269.44,253.25,133,133,200.12,188.53,176.53,180.81,188.22,190.09,193.52,192.58,167.43,200.12,133,182.35,133,221.28,235.75,239.08,133,133,27,969,36.5,29.22,
19.07.23 15:23:59,5.03,135,135,257.69,243.77,135,135,194.46,180.81,184.2,173.48,165.93,192.27,179.58,174.7,162.93,206.46,135,167.73,135,243.1,210.3,225.52,135,135,27,969,36.5,29.28,
19.07.23 15:24:14,5.28,134,134,252.56,225.52,134,134,164.43,170.45,175.92,163.53,156.38,174.7,191.64,148.13,170.15,195.71,134,169.85,134,271.54,227.82,237.08,134,134,27,969,36.5,29.3,
19.07.23 15:24:29,5.53,136,136,270.49,249.85,136,136,186.05,206.46,168.04,183.58,183.89,188.22,211.9,191.64,174.09,203.28,136,173.79,136,232.1,245.79,245.79,136,136,27,969,36.5,29.36,
19.07.23 15:24:44,5.78,135,135,265.97,248.83,135,135,207.1,192.58,184.82,169.85,172.27,190.09,218.03,186.67,178.67,206.78,135,176.53,135,235.08,246.46,225.85,135,135,27,969,36.5,29.4,
19.07.23 15:24:59,6.03,137,137,267.01,234.09,137,137,184.82,172.87,172.57,160.54,173.48,191.96,188.53,197.6,180.81,194.14,137,183.89,137,244.78,239.41,234.09,137,137,27,969,36.5,29.43,
19.07.23 15:25:14,6.28,136,136,264.58,249.85,136,136,180.5,193.83,167.43,178.67,175.61,197.6,213.51,189.77,174.7,211.58,136,162.93,136,221.6,237.41,249.85,136,136,27,969,36.5,29.5,
19.07.23 15:25:29,6.53,138,138,272.24,255.29,138,138,186.67,199.17,165.33,179.28,175.92,181.12,199.8,194.77,153.13,210.62,138,181.43,138,237.74,256.32,229.13,138,138,27,969,36.5,29.51,
19.07.23 15:25:44,6.78,137,137,278.57,265.27,137,137,206.78,205.82,160.24,187.29,183.89,205.51,200.12,199.49,194.14,192.58,137,182.35,137,231.77,242.76,250.53,137,137,27,969,36.5,29.57,
19.07.23 15:25:59,7.03,139,139,267.7,242.43,139,139,181.12,194.14,158.16,180.2,175.61,202.96,199.49,204.23,173.79,194.46,139,158.75,139,208.38,233.76,225.52,139,139,27,969,36.5,29.61,
19.07.23 15:26:14,7.28,138,138,260.09,234.75,138,138,178.36,197.6,166.23,164.43,183.89,187.29,216.73,194.14,186.98,205.19,138,171.36,138,212.86,240.75,229.79,138,138,27,969,36.5,29.65,
19.07.23 15:26:29,7.53,140,140,258.38,263.2,140,140,182.04,188.22,165.63,175,171.06,193.83,206.78,182.66,190.4,211.58,140,174.39,140,255.29,246.8,240.42,140,140,27,969,36.5,29.69,
19.07.23 15:26:44,7.78,139,139,274.34,242.76,139,139,196.02,187.91,157.27,186.36,175,196.97,201.06,187.29,186.67,207.42,139,185.12,139,242.43,242.76,219.65,139,139,27,969,36.5,29.72,
19.07.23 15:26:59,8.03,141,141,268.75,242.76,141,141,174.09,200.75,162.03,188.22,177.75,198.54,186.05,203.28,194.77,201.7,141,178.97,141,212.22,231.77,224.54,141,141,27,969,36.5,29.76,
19.07.23 15:27:14,8.28,140,140,263.54,236.41,140,140,183.89,212.22,161.73,160.24,169.85,183.58,186.05,173.79,185.43,200.75,140,182.04,140,217.38,225.19,220.3,140,140,27,969,36.5,29.8,
19.07.23 15:27:29,8.53,142,142,280.33,259.41,142,142,169.85,209.01,160.24,168.34,176.83,191.96,219.98,190.4,203.92,223.89,142,197.91,142,214.15,250.19,233.43,142,142,27,969,36.5,29.85,
19.07.23 15:27:44,8.78,141,141,273.29,250.86,141,141,203.28,210.3,173.79,161.44,174.39,191.96,200.43,182.66,198.22,216.41,141,201.7,141,205.19,232.76,238.08,141,141,27,969,36.5,29.89,
19.07.23 15:27:59,9.03,143,143,257.69,254.27,143,143,175.92,229.13,176.83,175.92,173.48,203.92,210.94,175.61,209.33,210.3,143,189.77,143,235.75,253.25,244.78,143,143,27,969,36.5,29.93,
19.07.23 15:28:14,9.28,142,142,276.8,259.06,142,142,181.12,250.86,161.73,174.09,184.82,200.75,191.64,209.33,158.46,201.38,142,194.14,142,221.28,259.06,252.22,142,142,27,969,36.5,29.96,
19.07.23 15:28:29,9.53,144,144,275.75,258.03,144,144,162.03,219.65,185.43,184.51,190.4,206.78,209.33,181.12,206.46,193.83,144,208.06,144,259.41,262.51,243.43,144,144,27,969,36.5,30.01,
19.07.23 15:28:44,9.78,143,143,266.66,242.09,143,143,167.43,186.67,155.49,181.12,174.39,186.98,218.35,197.6,167.13,211.9,143,188.22,143,227.82,227.49,231.44,143,143,27,969,36.5,30.04,
19.07.23 15:28:59,10.03,145,145,272.94,246.8,145,145,171.66,207.1,137.39,179.58,183.58,206.46,229.46,211.9,183.89,203.28,145,214.8,145,230.78,247.14,237.08,145,145,27,969,36.5,30.08,
19.07.23 15:29:14,10.28,144,144,266.31,251.2,144,144,179.28,205.82,183.58,174.39,185.74,191.02,219.98,185.43,186.36,208.7,144,207.1,144,245.79,244.78,236.75,144,144,27,969,36.5,30.11,
19.07.23 15:29:29,10.53,146,146,255.63,258.38,146,146,180.2,216.09,180.5,163.23,167.73,203.28,198.54,164.73,200.75,211.9,146,171.96,146,226.83,242.09,233.09,146,146,27,969,36.5,30.15,
19.07.23 15:29:44,10.78,145,145,275.4,244.11,145,145,172.57,204.23,182.35,165.03,168.94,187.6,236.08,202.33,198.85,214.15,145,196.65,145,237.08,239.75,239.41,145,145,27,969,36.5,30.19,
19.07.23 15:29:59,11.03,147,147,260.78,242.76,147,147,161.14,212.22,153.42,166.53,175.31,186.36,206.46,169.54,172.27,204.55,147,174.39,147,217.06,238.08,232.1,147,147,27,969,36.5,30.24,
19.07.23 15:30:14,11.28,146,146,263.2,249.17,146,146,184.2,220.95,174.09,171.66,180.5,196.02,214.8,186.98,176.53,206.78,146,175.61,146,217.7,266.66,231.77,146,146,27,969,36.5,30.28,
19.07.23 15:30:29,11.53,148,148,274.69,249.85,148,148,181.12,236.08,158.16,180.5,169.85,205.51,227.82,190.71,178.97,198.85,148,191.96,148,225.85,236.41,232.1,148,148,27,969,36.5,30.33,
19.07.23 15:30:44,11.78,147,147,276.45,249.51,147,147,175.92,246.13,171.36,186.98,185.74,208.38,211.9,188.84,209.97,202.96,147,184.51,147,237.74,250.19,243.1,147,147,27,969,36.5,30.36,
19.07.23 15:30:59,12.03,149,149,267.36,250.53,149,149,176.53,226.18,168.04,169.85,159.35,189.77,238.08,203.92,175.61,221.93,149,182.96,149,244.11,248.49,229.13,149,149,27,969,36.5,30.39,
19.07.23 15:31:14,12.28,148,148,288.52,252.91,148,148,184.82,213.51,168.94,175,180.81,198.85,222.25,209.65,210.94,225.52,148,195.4,148,244.44,244.44,261.82,148,148,27,969,36.5,30.41,
19.07.23 15:31:30,12.55,150,150,266.66,252.91,150,150,184.2,227.49,156.08,174.7,191.64,192.89,229.46,216.09,227.82,214.8,150,173.18,150,231.77,248.83,241.09,150,150,27,969,36.5,30.44,
19.07.23 15:31:45,12.8,149,149,267.36,260.09,149,149,162.33,224.21,154.01,161.44,175,184.51,213.83,193.2,221.6,196.34,149,188.53,149,232.43,255.63,241.09,149,149,27,969,36.5,30.49,
19.07.23 15:32:00,13.05,151,151,276.45,249.85,151,151,180.81,234.09,161.14,184.82,180.5,190.09,229.46,197.6,211.9,213.51,151,172.87,151,242.43,247.14,239.08,151,151,27,969,36.5,30.5,
19.07.23 15:32:15,13.3,150,150,277.51,254.61,150,150,177.44,232.76,157.86,160.24,180.5,197.6,241.09,190.4,203.6,215.44,150,188.53,150,248.15,269.44,223.23,150,150,27,969,36.5,30.53,
19.07.23 15:32:30,13.55,152,152,273.99,253.59,152,152,182.66,226.5,133.94,169.85,164.13,179.28,237.08,201.7,209.65,204.23,152,182.35,152,225.85,258.38,213.51,152,152,27,969,36.5,30.55,
19.07.23 15:32:45,13.8,151,151,274.34,254.61,151,151,187.6,227.49,174.09,165.93,182.35,186.05,236.75,205.82,220.63,216.41,151,191.96,151,241.42,235.75,250.53,151,151,27,969,36.5,30.58,
19.07.23 15:33:00,14.05,153,153,271.19,242.43,153,153,176.83,237.08,155.79,156.08,166.23,190.71,238.41,188.22,212.22,211.9,153,186.67,153,233.09,249.17,233.43,153,153,27,969,36.5,30.6,
19.07.23 15:33:15,14.3,152,152,275.4,260.09,152,152,162.63,204.87,160.84,173.18,180.2,200.12,225.19,184.2,211.58,217.06,152,189.46,152,247.82,260.78,234.42,152,152,27,969,36.5,30.64,
19.07.23 15:33:30,14.55,154,154,275.4,261.47,154,154,165.93,257.69,150.48,167.73,170.45,199.8,247.14,197.91,221.28,205.51,154,204.87,154,227.16,247.82,232.76,154,154,27,969,36.5,30.65,
19.07.23 15:33:45,14.8,153,153,278.57,246.46,153,153,186.67,215.12,159.35,165.33,172.57,195.4,219.98,196.65,213.83,214.15,153,185.74,153,215.44,243.43,227.82,153,153,27,969,36.5,30.69,
19.07.23 15:34:00,15.05,155,155,286.38,253.59,155,155,171.36,219.98,175.92,163.53,167.43,194.77,268.75,201.06,208.38,214.15,155,183.27,155,242.43,225.19,240.42,155,155,27,969,36.5,30.72,
19.07.23 15:34:15,15.3,154,154,281.75,257,154,154,176.22,227.16,190.09,177.14,189.15,204.55,270.84,198.22,230.78,220.3,154,215.12,154,250.53,259.75,222.91,154,154,27,969,36.5,30.75,
19.07.23 15:34:30,15.55,156,156,265.97,255.29,156,156,171.96,262.51,165.63,175.92,172.87,196.02,243.43,196.65,221.93,224.87,156,185.43,156,248.83,246.8,239.08,156,156,27,969,36.5,30.79,
19.07.23 15:34:45,15.8,155,155,267.7,246.13,155,155,178.67,229.13,154.6,143.76,166.83,202.65,214.47,189.77,198.54,187.6,155,186.05,155,224.87,246.8,225.85,155,155,27,969,36.5,30.8,
19.07.23 15:35:00,16.05,157,157,275.4,261.13,157,157,176.83,222.58,163.23,171.66,172.57,186.98,232.1,205.19,211.26,217.06,157,194.46,157,237.08,246.8,246.46,157,157,27,969,36.5,30.83,
19.07.23 15:35:15,16.3,156,156,278.92,265.97,156,156,174.39,247.82,160.24,160.24,172.27,178.67,238.08,205.51,207.1,207.74,156,188.22,156,242.09,268.4,232.76,156,156,27,969,36.5,30.86,
19.07.23 15:35:30,16.55,158,158,284.6,272.59,158,158,171.06,245.45,146.96,161.14,172.27,188.53,247.14,212.54,202.33,219.33,158,199.17,158,253.93,234.42,254.27,158,158,27,969,36.5,30.89,
19.07.23 15:35:45,16.8,157,157,264.23,252.22,157,157,159.05,264.93,151.36,146.96,166.53,181.12,222.58,197.28,221.6,218.35,157,205.51,157,231.77,234.42,230.12,157,157,27,969,36.5,30.9,
19.07.23 15:36:00,17.05,159,159,267.36,256.66,159,159,180.2,256.66,174.7,171.06,166.23,191.64,244.78,211.26,227.16,213.51,159,192.89,159,194.14,233.43,227.16,159,159,27,969,36.5,30.91,
19.07.23 15:36:15,17.3,158,158,257.35,255.63,158,158,162.33,244.11,151.07,142.88,174.39,187.29,258.03,216.73,194.14,220.95,158,189.77,158,248.49,240.42,224.21,158,158,27,969,36.5,30.94,
19.07.23 15:36:30,17.55,160,160,282.11,264.23,160,160,172.57,255.98,161.14,168.64,174.39,197.91,268.4,212.22,229.13,220.3,160,213.51,160,248.15,257.69,246.46,160,160,27,969,36.5,30.97,
19.07.23 15:36:45,17.8,159,159,269.79,267.01,159,159,155.49,252.91,159.35,158.75,169.54,195.08,232.76,229.13,217.38,213.51,159,204.23,159,209.33,250.53,235.42,159,159,27,969,36.5,30.99,
19.07.23 15:37:00,18.05,161,161,276.8,247.48,161,161,175.92,241.76,166.53,142.01,176.83,194.46,236.75,207.1,196.97,229.79,161,200.43,161,222.91,247.48,238.08,161,161,27,969,36.5,31,
19.07.23 15:37:15,18.3,160,160,264.93,245.12,160,160,136.52,282.82,153.72,156.97,164.73,187.29,253.25,215.44,205.51,233.09,160,189.77,160,259.41,242.09,226.5,160,160,27,969,36.5,31.01,
19.07.23 15:37:30,18.55,162,162,273.99,274.34,162,162,159.35,248.15,169.85,164.13,171.96,193.52,232.43,214.8,205.51,235.08,162,211.26,162,229.79,262.51,250.86,162,162,27,969,36.5,31.03,
19.07.23 15:37:45,18.8,161,161,275.04,259.41,161,161,163.23,254.27,159.95,159.35,170.75,180.2,239.75,231.11,204.55,211.26,161,202.65,161,219.33,244.11,226.83,161,161,27,969,36.5,31.04,
19.07.23 15:38:00,19.05,163,163,273.29,239.75,163,163,135.66,244.44,147.26,144.63,162.33,186.67,249.85,219,207.42,212.86,163,194.77,163,209.65,224.54,230.78,163,163,27,969,36.5,31.08,
19.07.23 15:38:15,19.3,162,162,270.49,257.69,162,162,151.95,237.74,160.24,151.66,160.84,184.82,250.19,209.65,191.02,204.23,162,190.4,162,224.87,237.41,226.18,162,162,27,969,36.5,31.08,
19.07.23 15:38:30,19.55,164,164,283.88,250.19,164,164,175.92,245.45,155.79,163.23,160.54,192.27,271.89,223.56,215.44,228.47,164,193.52,164,235.75,232.76,239.75,164,164,27,969,36.5,31.08,
19.07.23 15:38:45,19.8,163,163,271.54,260.78,163,163,166.53,252.91,165.33,144.92,167.73,187.29,259.06,219.33,218.03,228.15,163,177.44,163,257,268.75,223.23,163,163,27,969,36.5,31.08,
19.07.23 15:39:00,20.05,165,165,287.45,261.47,165,165,173.79,297.17,172.87,161.44,166.53,194.46,248.15,234.09,239.08,212.22,165,202.96,165,263.89,254.27,243.1,165,165,27,969,36.5,31.1,
19.07.23 15:39:15,20.3,164,164,285.31,247.14,164,164,135.37,263.89,159.05,144.34,150.48,183.89,213.83,213.19,213.51,205.82,164,182.66,164,249.85,233.43,238.75,164,164,27,969,36.5,31.11,
19.07.23 15:39:30,20.55,166,166,270.49,241.76,166,166,150.48,223.23,156.08,161.44,156.08,187.29,255.63,243.1,205.19,209.65,166,186.36,166,218.35,239.08,227.16,166,166,27,969,36.5,31.11,
19.07.23 15:39:45,20.8,165,165,272.24,240.08,165,165,150.48,246.46,158.75,143.76,163.53,183.58,249.17,218.03,221.93,210.3,165,179.58,165,211.9,239.41,224.54,165,165,27,969,36.5,31.13,
19.07.23 15:40:00,21.05,167,167,270.14,240.42,167,167,150.19,245.79,142.88,147.26,157.86,178.67,241.42,214.47,208.7,216.09,167,180.81,167,227.49,238.08,227.49,167,167,27,969,36.5,31.13,
19.07.23 15:40:15,21.3,166,166,277.86,240.75,166,166,148.43,264.23,164.13,155.79,162.63,189.15,259.75,238.75,225.52,248.83,166,183.27,166,257.69,261.47,238.08,166,166,27,969,36.5,31.14,
19.07.23 15:40:30,21.55,168,168,268.05,258.03,168,168,157.57,246.13,134.22,148.43,167.13,189.46,264.58,220.63,225.52,219.65,168,179.89,168,247.82,263.2,236.75,168,168,27,969,36.5,31.15,
19.07.23 15:40:45,21.8,167,167,259.06,260.09,167,167,146.38,225.52,144.63,147.55,143.47,176.22,255.63,205.51,191.64,210.3,167,171.06,167,213.19,229.46,218.03,167,167,27,969,36.5,31.15,
19.07.23 15:41:00,22.05,169,169,287.45,266.31,169,169,168.94,271.89,165.93,155.79,173.79,185.74,246.8,203.92,223.23,217.06,169,179.28,169,236.41,265.62,227.82,169,169,27,969,36.5,31.18,
19.07.23 15:41:15,22.3,168,168,291.75,277.86,168,168,153.13,279.63,149.31,159.65,168.04,197.28,271.19,229.13,212.86,225.19,168,204.23,168,252.91,244.11,240.08,168,168,27,969,36.5,31.18,
19.07.23 15:41:30,22.55,170,170,274.34,255.63,170,170,148.13,268.4,148.72,147.84,162.33,182.35,269.1,206.46,223.23,220.3,170,185.12,170,224.21,245.12,230.12,170,170,27,969,36.5,31.21,
19.07.23 15:41:45,22.8,169,169,273.64,254.95,169,169,165.33,253.93,160.54,150.77,156.97,178.05,273.64,209.01,223.23,249.85,169,202.65,169,240.08,240.42,243.77,169,169,27,969,36.5,31.22,
19.07.23 15:42:00,23.05,171,171,281.4,248.49,171,171,156.38,243.1,138.54,161.14,170.15,164.13,288.52,210.62,238.41,219.65,171,188.22,171,231.11,248.49,233.43,171,171,27,969,36.5,31.24,
19.07.23 15:42:15,23.3,170,170,274.34,249.17,170,170,152.54,241.76,150.77,156.97,145.21,163.53,243.43,215.76,211.58,206.14,170,175.31,170,215.12,247.82,253.93,170,170,27,969,36.5,31.26,
19.07.23 15:42:30,23.55,172,172,284.95,249.85,172,172,149.89,295,136.23,178.67,154.9,177.44,312.19,253.93,238.08,217.06,172,183.27,172,228.8,261.13,245.12,172,172,27,969,36.5,31.28,
19.07.23 15:42:45,23.8,171,171,275.75,253.59,171,171,165.63,282.82,136.52,152.24,163.23,176.53,277.86,191.64,243.77,219.65,171,191.33,171,231.77,244.11,218.68,171,171,27,969,36.5,31.29,
19.07.23 15:43:00,24.05,173,173,265.97,257,173,173,140.56,251.2,165.33,145.8,173.79,174.7,265.27,223.89,195.08,235.42,173,177.75,173,231.11,260.09,233.43,173,173,27,969,36.5,31.32,
19.07.23 15:43:15,24.3,172,172,266.66,245.45,172,172,142.59,236.08,159.95,151.07,156.08,183.27,249.51,219,212.54,226.5,172,180.81,172,208.7,226.18,237.08,172,172,27,969,36.5,31.33,
19.07.23 15:43:30,24.55,174,174,287.45,246.46,174,174,177.44,289.6,156.38,163.23,165.63,172.87,287.09,249.85,222.25,209.65,174,194.77,174,246.13,263.2,237.74,174,174,27,969,36.5,31.36,
19.07.23 15:43:45,24.8,173,173,291.75,259.06,173,173,158.46,289.96,149.89,143.47,162.03,179.58,266.31,211.58,215.12,219.33,173,162.33,173,269.44,254.95,237.41,173,173,27,969,36.5,31.38,
19.07.23 15:44:00,25.05,175,175,251.2,269.79,175,175,144.63,233.09,147.84,144.92,166.23,168.94,253.59,236.41,241.76,196.02,175,181.12,175,226.18,235.08,234.75,175,175,27,969,36.5,31.39,
19.07.23 15:44:15,25.3,174,174,292.11,260.78,174,174,174.09,296.08,137.96,161.44,157.27,161.14,291.39,236.08,230.12,228.47,174,178.36,174,223.89,262.85,224.21,174,174,27,969,36.5,31.43,
19.07.23 15:44:30,25.55,176,176,267.01,242.09,176,176,140.27,289.6,137.39,146.67,149.01,184.82,277.51,232.43,235.08,206.78,176,172.87,176,217.06,243.43,243.77,176,176,27,969,36.5,31.44,
19.07.23 15:44:45,25.8,175,175,268.75,251.2,175,175,148.43,273.99,127.94,133.65,159.65,177.44,281.75,214.47,228.47,219.33,175,185.12,175,233.43,243.77,212.54,175,175,27,969,36.5,31.47,
19.07.23 15:45:00,26.05,177,177,271.19,252.22,177,177,132.22,263.89,139.7,143.47,153.13,170.15,282.11,225.85,238.41,219,177,176.53,177,213.51,260.44,241.76,177,177,27,969,36.5,31.47,
19.07.23 15:45:15,26.3,176,176,264.23,252.56,176,176,151.07,251.88,145.8,143.17,153.72,168.34,272.24,238.75,240.42,233.09,176,173.48,176,208.06,259.41,246.46,176,176,27,969,36.5,31.51,
19.07.23 15:45:30,26.55,178,178,276.8,241.42,178,178,135.66,252.56,142.3,127.37,155.79,166.53,252.22,221.6,194.14,226.18,178,178.05,178,230.45,245.79,224.87,178,178,27,969,36.5,31.54,
19.07.23 15:45:45,26.8,177,177,286.02,275.75,177,177,163.23,295.36,153.72,150.19,168.04,190.4,297.53,223.56,236.08,257,177,198.54,177,233.43,286.02,251.2,177,177,27,969,36.5,31.57,
19.07.23 15:46:00,27.05,179,179,273.29,258.03,179,179,154.9,295.36,146.67,132.5,154.01,179.28,267.36,226.5,230.12,235.08,179,185.74,179,230.12,243.43,244.44,179,179,27,969,36.5,31.58,
19.07.23 15:46:15,27.3,178,178,271.19,250.86,178,178,152.83,285.31,138.83,130.5,149.31,164.13,279.98,215.44,194.77,212.54,178,187.29,178,213.51,248.15,237.74,178,178,27,969,36.5,31.61,
19.07.23 15:46:30,27.55,180,180,287.81,251.54,180,180,144.63,276.8,152.24,143.76,159.95,178.67,262.51,209.65,226.5,228.8,180,181.43,180,260.78,250.53,233.76,180,180,27,969,36.5,31.64,
19.07.23 15:46:45,27.8,179,179,292.47,246.8,179,179,131.93,274.34,152.54,145.21,157.27,160.84,259.41,230.12,200.75,224.87,179,182.96,179,243.77,254.27,237.08,179,179,27,969,36.5,31.65,
19.07.23 15:47:00,28.05,181,181,279.27,267.7,181,181,141.43,278.21,161.44,137.96,162.93,187.91,272.24,225.19,222.58,215.76,181,176.83,181,255.98,245.45,233.76,181,181,27,969,36.5,31.69,
19.07.23 15:47:15,28.3,180,180,293.55,267.7,180,180,162.03,281.04,154.6,140.27,152.83,177.14,281.75,221.93,236.41,224.87,180,191.96,180,271.19,237.41,239.75,180,180,27,969,36.5,31.72,
19.07.23 15:47:30,28.55,182,182,272.94,246.8,182,182,137.1,283.53,150.77,129.36,162.93,155.79,298.62,210.94,226.18,211.58,182,166.83,182,237.41,259.75,223.56,182,182,27,969,36.5,31.75,
