Measurement Name :,7192023R_run14,,,,,,,,,,,,,,,Generated On :,,,,,,,,"19/07/2023, 18:17:44",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
"
Start Date/Time:,"19/07/2023, 17:39:30",,,,,,,,,,,,,,,,,,,,,,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,
End Date/Time:,"19/07/2023, 18:16:10",,,,,,,,,,,,,,,,,,,,,,,,,,O2_cal0 [°],54.55,,,,,,
User Comment :,0,,,,,,,,,,,,,,,Meas. Created By :,,,,,,,,admin,,,O2_cal2nd [°],47.62,,,,,,
SDR Serial No. :,S-1054,,,,,,,,,,,,,,,,,,,,,,,,,,O2_T0 [°C],24.6,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,,,,,,,,,,,,,,,,,,,,,O2_T2nd [°C],24.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,O2_patm [mbar],969,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,O2_2nd [% a.s.],100,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error,,,,
19.07.23 17:39:32,0.03,125,125,125,125,125,125,125,125,125,125,125,125,125,87.94,134.22,125,125,125,125,125,125,125,207.74,125,27,969,36.5,28.16,,,,,
19.07.23 17:39:48,0.3,124,124,124,124,124,124,124,124,124,124,124,124,124,105.58,165.33,124,124,124,124,124,124,124,179.89,124,27,969,36.5,28.07,,,,,
19.07.23 17:40:03,0.55,126,126,126,126,126,126,126,126,126,126,126,126,126,96.02,153.72,126,126,126,126,126,126,126,286.38,126,27,969,36.5,28.01,,,,,
19.07.23 17:40:18,0.8,125,125,125,125,125,125,125,125,125,125,125,125,125,79.42,118.07,125,125,125,125,125,125,125,247.14,125,27,969,36.5,27.97,,,,,
19.07.23 17:40:33,1.05,127,127,127,127,127,127,127,127,127,127,127,127,127,115.83,146.38,127,127,127,127,127,127,127,217.06,127,27,969,36.5,27.96,,,,,
19.07.23 17:40:48,1.3,126,126,126,126,126,126,126,126,126,126,126,126,126,115.83,140.85,126,126,126,126,126,126,126,198.54,126,27,969,36.5,27.97,,,,,
19.07.23 17:41:03,1.55,128,128,128,128,128,128,128,128,128,128,128,128,128,103.11,142.59,128,128,128,128,128,128,128,209.65,128,27,969,36.5,27.97,,,,,
19.07.23 17:41:18,1.8,127,127,127,127,127,127,127,127,127,127,127,127,127,91.43,117.51,127,127,127,127,127,127,127,247.14,127,27,969,36.5,27.97,,,,,
19.07.23 17:41:33,2.05,129,129,129,129,129,129,129,129,129,129,129,129,129,97.92,153.42,129,129,129,129,129,129,129,266.31,129,27,969,36.5,28.01,,,,,
19.07.23 17:41:48,2.3,128,128,128,128,128,128,128,128,128,128,128,128,128,103.93,135.95,128,128,128,128,128,128,128,216.73,128,27,969,36.5,28.01,,,,,
19.07.23 17:42:03,2.55,130,130,130,130,130,130,130,130,130,130,130,130,130,74.94,152.54,130,130,130,130,130,130,130,223.23,130,27,969,36.5,28.04,,,,,
19.07.23 17:42:18,2.8,129,129,129,129,129,129,129,129,129,129,129,129,129,90.35,149.6,129,129,129,129,129,129,129,287.45,129,27,969,36.5,28.05,,,,,
19.07.23 17:42:33,3.05,131,131,131,131,131,131,131,131,131,131,131,131,131,107.23,181.43,131,131,131,131,131,131,131,334.36,131,27,969,36.5,28.08,,,,,
19.07.23 17:42:48,3.3,130,130,130,130,130,130,130,130,130,130,130,130,130,94.67,120.31,130,130,130,130,130,130,130,189.46,130,27,969,36.5,28.1,,,,,
19.07.23 17:43:03,3.55,132,132,132,132,132,132,132,132,132,132,132,132,132,95.75,135.95,132,132,132,132,132,132,132,201.7,132,27,969,36.5,28.1,969C4-(E1);,,,,
19.07.23 17:43:18,3.8,131,131,131,131,131,131,131,131,131,131,131,131,131,58.07,115.83,131,131,131,131,131,131,131,245.12,131,27,969,36.5,28.11,,,,,
19.07.23 17:43:33,4.05,133,133,133,133,133,133,133,133,133,133,133,133,133,120.03,155.2,133,133,133,133,133,133,133,256.32,133,27,969,36.5,28.11,,,,,
19.07.23 17:43:48,4.3,132,132,132,132,132,132,132,132,132,132,132,132,132,71.79,98.74,132,132,132,132,132,132,132,152.54,132,27,969,36.5,28.14,,,,,
19.07.23 17:44:03,4.55,134,134,134,134,134,134,134,134,134,134,134,134,134,99.83,153.42,134,134,134,134,134,134,134,260.09,134,27,969,36.5,28.15,,,,,
19.07.23 17:44:18,4.8,133,133,133,133,133,133,133,133,133,133,133,133,133,94.4,138.25,133,133,133,133,133,133,133,282.11,133,27,969,36.5,28.18,,,,,
19.07.23 17:44:33,5.05,135,135,135,135,135,135,135,135,135,135,135,135,135,64.51,145.8,135,135,135,135,135,135,135,242.09,135,27,969,36.5,28.21,,,,,
19.07.23 17:44:48,5.3,134,134,134,134,134,134,134,134,134,134,134,134,134,123.41,156.68,134,134,134,134,134,134,134,293.55,134,27,969,36.5,28.22,,,,,
19.07.23 17:45:03,5.55,136,136,136,136,136,136,136,136,136,136,136,136,136,155.49,132.79,136,136,136,136,136,136,136,286.38,136,27,969,36.5,28.25,969D4-(E1);,,,,
19.07.23 17:45:18,5.8,135,135,135,135,135,135,135,135,135,135,135,135,135,138.83,139.41,135,135,135,135,135,135,135,215.12,135,27,969,36.5,28.26,,,,,
19.07.23 17:45:33,6.05,137,137,137,137,137,137,137,137,137,137,137,137,137,124.26,171.96,137,137,137,137,137,137,137,257.35,137,27,969,36.5,28.28,,,,,
19.07.23 17:45:48,6.3,136,136,136,136,136,136,136,136,136,136,136,136,136,98.47,146.09,136,136,136,136,136,136,136,220.95,136,27,969,36.5,28.29,,,,,
19.07.23 17:46:03,6.55,138,138,138,138,138,138,138,138,138,138,138,138,138,113.88,134.51,138,138,138,138,138,138,138,181.73,138,27,969,36.5,28.29,,,,,
19.07.23 17:46:18,6.8,137,137,137,137,137,137,137,137,137,137,137,137,137,81.8,133.08,137,137,137,137,137,137,137,357.24,137,27,969,36.5,28.32,,,,,
19.07.23 17:46:33,7.05,139,139,139,139,139,139,139,139,139,139,139,139,139,97.38,162.63,139,139,139,139,139,139,139,236.75,139,27,969,36.5,28.33,,,,,
19.07.23 17:46:48,7.3,138,138,138,138,138,138,138,138,138,138,138,138,138,142.01,154.31,138,138,138,138,138,138,138,219.33,138,27,969,36.5,28.33,,,,,
19.07.23 17:47:03,7.55,140,140,140,140,140,140,140,140,140,140,140,140,140,133.65,123.41,140,140,140,140,140,140,140,295.72,140,27,969,36.5,28.35,,,,,
19.07.23 17:47:18,7.8,139,139,139,139,139,139,139,139,139,139,139,139,139,99.28,175.61,139,139,139,139,139,139,139,229.46,139,27,969,36.5,28.36,,,,,
19.07.23 17:47:33,8.05,141,141,141,141,141,141,141,141,141,141,141,141,141,177.75,149.89,141,141,141,141,141,141,141,335.89,141,27,969,36.5,28.36,,,,,
19.07.23 17:47:48,8.3,140,140,140,140,140,140,140,140,140,140,140,140,140,139.98,185.12,140,140,140,140,140,140,140,271.54,140,27,969,36.5,28.36,,,,,
19.07.23 17:48:03,8.55,142,142,142,142,142,142,142,142,142,142,142,142,142,109.44,162.03,142,142,142,142,142,142,142,190.09,142,27,969,36.5,28.39,,,,,
19.07.23 17:48:18,8.8,141,141,141,141,141,141,141,141,141,141,141,141,141,111.65,133.08,141,141,141,141,141,141,141,226.5,141,27,969,36.5,28.4,,,,,
19.07.23 17:48:33,9.05,143,143,143,143,143,143,143,143,143,143,143,143,143,105.03,128.51,143,143,143,143,143,143,143,211.9,143,27,969,36.5,28.41,,,,,
19.07.23 17:48:48,9.3,142,142,142,142,142,142,142,142,142,142,142,142,142,111.93,143.17,142,142,142,142,142,142,142,209.01,142,27,969,36.5,28.43,,,,,
