Date,Sample_ID,Chamber_ID,Colony,Treatment,Temperature,Type,Salinity,Run,Volume,Org_Number,Notes
20230718,1,A1,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,2,B1,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,3,C1,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,4,D1,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,5,A2,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,6,B2,G,Ambient,28,Sample,36.5,11,0.00008,10,116
20230718,7,C2,B,Ambient,28,Sample,36.5,11,0.00008,10,109
20230718,8,D2,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,9,A3,NA,Ambient,28,NA,36.5,11,NA,NA,
20230718,10,B3,G,Ambient,28,Sample,36.5,11,0.00008,10,113
20230718,11,C3,Pooled,Ambient,28,Sample,36.5,11,0.00008,10,118
20230718,12,D3,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,13,A4,NA,Ambient,28,Blank,36.5,11,0.00008,NA,NA
20230718,14,B4,NA,Ambient,28,Sample,36.5,11,0.00008,10,123
20230718,15,C4,G,Ambient,28,Sample,36.5,11,0.00008,10,120
20230718,16,D4,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,17,A5,NA,Ambient,28,Blank,36.5,11,0.00008,NA,NA
20230718,18,B5,B,Ambient,28,Sample,36.5,11,0.00008,10,103
20230718,19,C5,Pooled,Ambient,28,Sample,36.5,11,0.00008,10,122
20230718,20,D5,NA,Ambient,28,NA,36.5,11,NA,NA,NA
20230718,21,A6,NA,Ambient,28,Blank,36.5,11,0.00008,NA,NA
20230718,22,B6,B,Ambient,28,Sample,36.5,11,0.00008,10,105
20230718,23,C6,NA,Ambient,28,Blank,36.5,11,0.00008,NA,NA
