Date,Run,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20230713,1,28,1,415,17:23,17:54,0:31,,,We began with the photosynthesis at an average Par of 410 and swtihed the light levvel to 2 (0 par) for resperation.
20230713,1,28,2,0,17:56,18:31,0:35,,,
20230714,2,28,1,415,14:12,14:43,0:31,,,
20230714,2,28,2,0,14:48,15:23,0:35,,,
20230714,3,28,1,415,16:48,17:18,0:30,,, 
20230714,3,28,2,0,17:21,18:12,0:51,,,
20230714,4,28,1,415,20:23,20:55,0:32,,,
20230714,4,28,2,0,20:57,21:32,0:35,,, 
20230714,5,28,1,415,22:54,23:25,0:29,,,
20230714,5,28,2,0,23:27,00:00,0:33,,,
