Measurement Name :,7182023R,,,,,Generated On :,"18/07/2023, 12:47:37",,,,Calibration details for Oxygen,,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
18.07.23 12:15:14,3.53,118,118,118,229.13,223.56,221.28,118,175.92,118.35,248.49,229.79,244.44,118,234.42,223.23,188.22,196.65,223.56,118,118,118,118,118,118,27,969,36.5,27.11,
18.07.23 12:15:29,3.78,119,119,119,229.46,224.87,219.33,119,163.83,111.1,244.44,231.11,243.1,119,239.41,222.91,190.4,207.1,221.28,119,119,119,119,119,119,27,969,36.5,27.08,
18.07.23 12:15:44,4.03,117,117,117,228.8,224.87,219.98,117,160.54,114.71,243.1,230.45,242.76,117,239.08,220.95,189.46,198.54,222.58,117,117,117,117,117,117,27,969,36.5,27.05,
18.07.23 12:15:59,4.28,118,118,118,228.47,223.56,219.65,118,166.53,113.88,242.43,229.79,242.43,118,235.42,220.95,186.98,192.27,220.63,118,118,118,118,118,118,27,969,36.5,27.03,
18.07.23 12:16:14,4.53,116,116,116,227.82,224.87,219.65,116,159.05,113.32,239.08,229.13,242.43,116,235.75,221.93,186.67,198.22,221.28,116,116,116,116,116,116,27,969,36.5,27,
18.07.23 12:16:29,4.78,117,117,117,228.8,224.21,219.98,117,161.73,106.95,241.09,228.8,241.76,117,234.09,215.12,183.27,194.46,221.93,117,117,117,117,117,117,27,969,36.5,26.97,
18.07.23 12:16:44,5.03,115,115,115,227.16,222.58,220.3,115,162.33,107.23,236.08,228.15,242.76,115,232.76,217.38,182.35,193.2,221.28,115,115,115,115,115,115,27,969,36.5,26.94,
18.07.23 12:16:59,5.28,116,116,116,227.49,222.58,219,116,161.14,106.13,236.41,229.79,239.41,116,231.44,231.11,182.66,189.77,219.98,116,116,116,116,116,116,27,969,36.5,26.91,
18.07.23 12:17:14,5.53,114,114,114,227.82,223.23,219.33,114,163.23,106.68,237.08,229.13,240.42,114,216.41,220.3,182.35,190.09,220.95,114,114,114,114,114,114,27,969,36.5,26.89,
18.07.23 12:17:29,5.78,115,115,115,227.82,222.58,219,115,152.83,105.03,241.76,228.47,239.41,115,225.19,207.74,182.04,192.58,219.65,115,115,115,115,115,115,27,969,36.5,26.86,
18.07.23 12:17:44,6.03,113,113,113,228.15,222.58,218.68,113,149.01,106.13,235.42,227.82,239.08,113,220.95,211.9,182.04,189.46,220.3,113,113,113,113,113,113,27,969,36.5,26.83,
18.07.23 12:17:59,6.28,114,114,114,227.82,222.58,218.35,114,148.43,103.38,232.1,227.49,238.75,114,218.68,216.41,188.22,186.67,220.95,114,114,114,114,114,114,27,969,36.5,26.8,
18.07.23 12:18:14,6.53,112,112,112,227.16,222.58,219,112,147.26,102.83,232.1,227.16,239.41,112,213.19,202.96,183.27,187.29,219.98,112,112,112,112,112,112,27,969,36.5,26.79,
18.07.23 12:18:29,6.78,113,113,113,226.18,222.91,217.38,113,146.96,104.48,225.52,226.18,237.08,113,211.26,203.28,178.67,185.43,220.3,113,113,113,113,113,113,27,969,36.5,26.76,
18.07.23 12:18:44,7.03,111,111,111,225.19,220.95,217.38,111,143.76,103.38,220.3,227.49,236.41,111,210.62,205.82,175.92,187.91,220.95,111,111,111,111,111,111,27,969,36.5,26.74,
18.07.23 12:18:59,7.28,112,112,112,225.52,220.63,218.03,112,138.83,103.38,223.56,226.83,235.42,112,210.94,197.6,174.39,184.82,219.98,112,112,112,112,112,112,27,969,36.5,26.72,
18.07.23 12:19:14,7.53,110,110,110,225.52,221.28,217.38,110,136.52,100.65,217.7,227.16,238.08,110,210.94,196.34,173.48,194.14,220.3,110,110,110,110,110,110,27,969,36.5,26.68,
18.07.23 12:19:29,7.78,111,111,111,226.5,221.28,217.7,111,137.96,103.11,223.56,227.16,235.08,111,206.14,192.27,171.66,181.43,219,111,111,111,111,111,111,27,969,36.5,26.68,
18.07.23 12:19:44,8.03,109,109,109,227.16,222.25,217.06,109,133.94,103.93,213.83,226.83,233.76,109,207.42,201.7,171.06,180.2,218.68,109,109,109,109,109,109,27,969,36.5,26.65,
18.07.23 12:19:59,8.28,110,110,110,224.54,220.63,216.09,110,134.8,97.11,211.26,226.83,234.75,110,202.01,202.33,169.85,181.43,219,110,110,110,110,110,110,27,969,36.5,26.63,
18.07.23 12:20:14,8.53,108,108,108,225.85,220.63,217.06,108,133.94,92.24,211.26,226.5,235.42,108,201.38,197.91,170.45,189.77,218.03,108,108,108,108,108,108,27,969,36.5,26.6,
18.07.23 12:20:29,8.78,109,109,109,225.85,219.65,216.41,109,137.1,96.02,210.94,226.5,233.43,109,202.33,194.14,169.24,182.66,217.38,109,109,109,109,109,109,27,969,36.5,26.58,
18.07.23 12:20:44,9.03,107,107,107,224.21,220.63,215.76,107,131.36,92.51,208.06,225.85,231.44,107,204.23,195.08,173.18,178.36,217.38,107,107,107,107,107,107,27,969,36.5,26.54,
18.07.23 12:20:59,9.28,108,108,108,224.54,220.63,215.12,108,133.36,90.62,208.38,225.52,231.11,108,197.28,191.96,173.18,175,216.41,108,108,108,108,108,108,27,969,36.5,26.54,
18.07.23 12:21:14,9.53,106,106,106,225.19,220.3,216.09,106,137.1,91.7,206.78,225.85,231.44,106,200.43,182.35,175.31,170.75,217.38,106,106,106,106,106,106,27,969,36.5,26.51,
18.07.23 12:21:29,9.78,107,107,107,224.54,219,216.41,107,136.81,83.66,206.14,224.87,229.46,107,196.97,177.14,172.57,169.24,218.03,107,107,107,107,107,107,27,969,36.5,26.49,
18.07.23 12:21:44,10.03,105,105,105,223.89,219.33,215.44,105,139.41,81.54,201.06,224.21,229.13,105,195.4,182.35,166.83,177.75,216.41,105,105,105,105,105,105,27,969,36.5,26.47,
18.07.23 12:21:59,10.28,106,106,106,223.89,219.98,214.8,106,129.93,87.67,200.43,225.19,230.12,106,191.64,169.24,168.34,168.04,214.8,106,106,106,106,106,106,27,969,36.5,26.46,
18.07.23 12:22:14,10.53,104,104,104,222.58,219,215.12,104,131.65,82.87,209.01,224.21,233.09,104,189.46,165.63,170.15,166.83,215.44,104,104,104,104,104,104,27,969,36.5,26.43,
18.07.23 12:22:29,10.78,105,105,105,223.56,218.68,214.15,105,133.65,80.48,200.12,224.21,229.13,105,188.22,162.63,169.54,165.93,216.09,105,105,105,105,105,105,27,969,36.5,26.4,
18.07.23 12:22:44,11.03,103,103,103,223.89,217.7,214.47,103,125.11,81.27,195.4,224.21,228.8,103,185.43,162.93,165.93,165.33,215.12,103,103,103,103,103,103,27,969,36.5,26.38,
18.07.23 12:22:59,11.28,104,104,104,222.25,218.03,215.12,104,122.85,79.15,196.34,223.56,231.11,104,183.89,163.83,164.13,163.53,215.76,104,104,104,104,104,104,27,969,36.5,26.36,
18.07.23 12:23:14,11.53,102,102,102,222.58,217.7,214.47,102,122.56,78.36,191.64,222.91,225.85,102,187.6,161.14,162.93,167.13,214.47,102,102,102,102,102,102,27,969,36.5,26.33,
18.07.23 12:23:29,11.78,103,103,103,222.25,218.03,214.15,103,125.96,75.46,191.64,223.56,226.5,103,182.96,159.05,161.73,166.23,214.8,103,103,103,103,103,103,27,969,36.5,26.33,
18.07.23 12:23:44,12.03,101,101,101,222.91,218.03,213.51,101,123.97,73.89,199.8,224.54,224.54,101,176.83,165.03,162.63,164.13,216.41,101,101,101,101,101,101,27,969,36.5,26.29,
18.07.23 12:23:59,12.28,102,102,102,221.6,218.35,213.51,102,116.67,77.3,185.74,223.89,223.23,102,176.22,158.75,161.44,163.23,214.15,102,102,102,102,102,102,27,969,36.5,26.29,
18.07.23 12:24:14,12.53,100,100,100,222.25,217.38,214.15,100,120.31,72.84,187.91,223.23,222.91,100,175,157.57,156.97,169.24,215.44,100,100,100,100,100,100,27,969,36.5,26.28,
18.07.23 12:24:29,12.78,101,101,101,220.95,216.73,214.47,101,115.83,73.89,182.35,222.91,222.91,101,175.92,162.63,155.79,168.94,215.44,101,101,101,101,101,101,27,969,36.5,26.25,
18.07.23 12:24:44,13.03,99,99,99,221.28,216.73,213.83,99,110.55,69.7,188.84,222.91,220.95,99,175.92,154.9,154.6,164.13,213.83,99,99,99,99,99,99,27,969,36.5,26.25,
18.07.23 12:24:59,13.28,100,100,100,221.93,218.35,215.12,100,112.49,73.36,184.51,223.56,221.6,100,175.92,161.73,153.72,163.23,214.8,100,100,100,100,100,100,27,969,36.5,26.22,
18.07.23 12:25:14,13.53,98,98,98,221.6,217.38,213.19,98,112.49,67.1,186.36,223.23,219.98,98,174.7,151.36,157.27,162.93,214.15,98,98,98,98,98,98,27,969,36.5,26.22,
18.07.23 12:25:29,13.78,99,99,99,222.25,217.7,213.83,99,116.95,64.25,180.5,222.91,220.95,99,178.67,151.07,156.68,161.73,214.47,99,99,99,99,99,99,27,969,36.5,26.22,
18.07.23 12:25:44,14.03,97,97,97,221.93,218.03,214.47,97,113.6,70.74,175,222.25,221.6,97,177.14,159.05,155.2,160.54,215.76,97,97,97,97,97,97,27,969,36.5,26.24,
18.07.23 12:25:59,14.28,98,98,98,222.58,217.7,213.83,98,118.07,64.25,173.18,223.89,219.65,98,175.92,147.55,156.38,159.95,215.44,98,98,98,98,98,98,27,969,36.5,26.22,
18.07.23 12:26:14,14.53,96,96,96,221.28,217.7,213.83,96,116.39,66.32,175,223.56,218.68,96,173.48,148.43,155.79,156.38,214.15,96,96,96,96,96,96,27,969,36.5,26.25,
18.07.23 12:26:29,14.78,97,97,97,222.25,217.38,214.8,97,108.61,63.99,170.75,222.91,218.35,97,173.18,145.8,154.31,155.79,214.15,97,97,97,97,97,97,27,969,36.5,26.26,
18.07.23 12:26:44,15.03,95,95,95,222.91,218.03,214.15,95,98.74,64.76,173.79,221.93,218.35,95,171.66,151.36,155.49,154.9,213.19,95,95,95,95,95,95,27,969,36.5,26.26,
18.07.23 12:26:59,15.28,96,96,96,222.58,217.38,215.12,96,97.11,65.54,174.09,224.21,217.38,96,174.39,145.8,152.54,157.57,215.44,96,96,96,96,96,96,27,969,36.5,26.28,
18.07.23 12:27:14,15.53,94,94,94,222.91,218.35,215.12,94,99.01,63.99,174.09,223.23,214.47,94,171.66,146.96,151.95,150.19,216.09,94,94,94,94,94,94,27,969,36.5,26.29,
18.07.23 12:27:29,15.78,95,95,95,222.25,218.35,215.44,95,103.93,63.73,171.06,223.89,215.76,95,167.73,144.05,150.48,156.68,215.44,95,95,95,95,95,95,27,969,36.5,26.3,
18.07.23 12:27:44,16.03,93,93,93,222.91,217.38,215.44,93,114.16,67.36,168.64,223.56,214.8,93,169.85,139.98,149.89,154.9,215.76,93,93,93,93,93,93,27,969,36.5,26.32,
18.07.23 12:27:59,16.28,94,94,94,222.91,219,214.47,94,105.03,62.7,166.23,223.23,214.8,94,170.15,139.41,148.43,149.01,215.12,94,94,94,94,94,94,27,969,36.5,26.35,
18.07.23 12:28:15,16.55,92,92,92,223.56,218.03,214.8,92,105.03,65.02,161.44,223.23,213.83,92,172.27,135.95,148.43,154.31,215.76,92,92,92,92,92,92,27,969,36.5,26.38,
18.07.23 12:28:30,16.8,93,93,93,223.89,218.68,215.12,93,105.03,61.41,160.54,223.56,213.83,93,171.66,137.96,146.38,155.79,215.76,93,93,93,93,93,93,27,969,36.5,26.39,
18.07.23 12:28:45,17.05,91,91,91,222.91,218.35,214.8,91,96.84,61.92,160.54,222.58,214.15,91,171.36,145.21,146.96,152.83,215.76,91,91,91,91,91,91,27,969,36.5,26.4,
18.07.23 12:29:00,17.3,92,92,92,221.6,218.03,215.76,92,101.19,60.38,159.35,222.58,214.15,92,171.06,140.85,149.89,147.26,214.8,92,92,92,92,92,92,27,969,36.5,26.41,
18.07.23 12:29:15,17.55,90,90,90,223.23,218.68,215.12,90,97.65,57.56,161.73,223.56,212.22,90,168.64,141.14,148.43,147.26,216.41,90,90,90,90,90,90,27,969,36.5,26.41,
18.07.23 12:29:30,17.8,91,91,91,223.23,219.98,216.73,91,94.67,57.3,159.95,223.23,214.15,91,166.53,130.22,149.01,141.72,215.44,91,91,91,91,91,91,27,969,36.5,26.4,
18.07.23 12:29:45,18.05,89,89,89,223.56,218.68,215.44,89,94.4,61.67,160.84,223.56,212.22,89,163.23,131.36,147.84,142.88,214.8,89,89,89,89,89,89,27,969,36.5,26.41,
18.07.23 12:30:00,18.3,90,90,90,223.23,218.35,215.44,90,88.2,53.73,154.6,223.56,211.58,90,159.95,127.94,151.36,136.81,214.47,90,90,90,90,90,90,27,969,36.5,26.41,
18.07.23 12:30:15,18.55,88,88,88,223.23,219.33,215.12,88,86.87,53.73,154.6,222.25,214.8,88,155.49,132.22,153.72,142.59,214.15,88,88,88,88,88,88,27,969,36.5,26.41,
18.07.23 12:30:30,18.8,89,89,89,223.23,218.03,214.47,89,85,53.98,150.19,223.56,211.26,89,154.6,125.11,146.38,135.95,215.44,89,89,89,89,89,89,27,969,36.5,26.41,
18.07.23 12:30:45,19.05,87,87,87,223.56,218.68,214.8,87,83.66,61.92,151.07,222.91,210.3,87,155.79,123.69,146.96,135.95,214.47,87,87,87,87,87,87,27,969,36.5,26.41,
18.07.23 12:31:00,19.3,88,88,88,222.91,219,214.47,88,75.2,56.02,146.38,222.58,209.01,88,153.42,123.69,146.09,134.51,214.47,88,88,88,88,88,88,27,969,36.5,26.4,
18.07.23 12:31:15,19.55,86,86,86,222.25,218.68,214.8,86,75.72,52.71,145.5,223.23,208.06,86,147.84,123.97,146.38,133.94,215.12,86,86,86,86,86,86,27,969,36.5,26.4,
18.07.23 12:31:30,19.8,87,87,87,222.91,218.03,214.15,87,75.46,56.79,144.63,222.58,208.06,87,147.55,122.28,144.63,135.08,215.76,87,87,87,87,87,87,27,969,36.5,26.39,
18.07.23 12:31:45,20.05,85,85,85,222.91,218.03,214.15,85,75.46,54.75,146.96,222.58,209.33,85,153.42,121.72,144.63,131.93,214.8,85,85,85,85,85,85,27,969,36.5,26.39,
18.07.23 12:32:00,20.3,86,86,86,223.56,218.68,214.47,86,75.2,58.58,143.76,222.58,209.01,86,151.66,119.75,142.88,129.93,214.8,86,86,86,86,86,86,27,969,36.5,26.36,
18.07.23 12:32:15,20.55,84,84,84,222.91,218.68,214.8,84,80.21,53.47,140.56,221.93,208.7,84,150.19,118.63,144.92,129.08,214.47,84,84,84,84,84,84,27,969,36.5,26.38,
18.07.23 12:32:30,20.8,85,85,85,223.56,218.03,214.8,85,77.04,53.73,143.76,221.6,209.65,85,145.21,124.26,144.34,129.08,216.09,85,85,85,85,85,85,27,969,36.5,26.38,
18.07.23 12:32:45,21.05,83,83,83,221.6,218.03,214.47,83,74.41,49.92,145.21,221.93,209.01,83,144.92,115.55,138.25,129.36,214.8,83,83,83,83,83,83,27,969,36.5,26.36,
18.07.23 12:33:00,21.3,84,84,84,222.25,217.7,213.83,84,73.62,47.64,137.1,222.58,208.7,84,144.92,113.32,137.67,127.94,214.15,84,84,84,84,84,84,27,969,36.5,26.36,
18.07.23 12:33:15,21.55,82,82,82,222.25,219,214.15,82,72.84,47.39,136.23,221.93,209.65,82,146.96,113.32,136.52,127.09,213.19,82,82,82,82,82,82,27,969,36.5,26.36,
18.07.23 12:33:30,21.8,83,83,83,221.93,217.38,214.47,83,71.27,51.19,134.51,221.28,212.54,83,144.05,121.72,134.8,127.94,214.15,83,83,83,83,83,83,27,969,36.5,26.36,
18.07.23 12:33:45,22.05,81,81,81,221.28,218.03,214.15,81,71.53,50.42,132.79,221.6,211.26,81,144.05,116.11,129.65,123.13,215.12,81,81,81,81,81,81,27,969,36.5,26.36,
18.07.23 12:34:00,22.3,82,82,82,221.6,216.41,214.47,82,80.48,47.9,133.36,220.63,208.38,82,142.59,118.63,130.5,123.69,214.8,82,82,82,82,82,82,27,969,36.5,26.33,
18.07.23 12:34:15,22.55,80,80,80,221.6,217.38,214.47,80,74.94,50.68,135.08,221.93,206.78,80,138.83,109.72,127.66,124.54,213.51,80,80,80,80,80,80,27,969,36.5,26.35,
18.07.23 12:34:30,22.8,81,81,81,223.56,218.03,214.15,81,73.89,48.4,129.36,220.63,204.55,81,141.72,108.61,130.5,123.13,214.15,81,81,81,81,81,81,27,969,36.5,26.35,
18.07.23 12:34:45,23.05,79,79,79,222.58,217.06,214.47,79,82.6,48.4,130.79,220.95,204.55,79,143.76,111.93,131.93,124.26,214.47,79,79,79,79,79,79,27,969,36.5,26.33,
18.07.23 12:35:00,23.3,80,80,80,221.28,217.38,213.83,80,73.1,49.41,136.23,220.63,203.28,80,136.81,105.3,128.8,127.94,214.15,80,80,80,80,80,80,27,969,36.5,26.33,
18.07.23 12:35:15,23.55,78,78,78,222.58,218.03,213.83,78,72.57,54.75,126.52,220.95,202.65,78,136.23,105.58,129.65,122.56,213.83,78,78,78,78,78,78,27,969,36.5,26.35,
18.07.23 12:35:30,23.8,79,79,79,222.58,218.35,214.15,79,73.89,51.69,127.66,220.95,202.96,79,140.56,103.93,129.36,122.56,214.15,79,79,79,79,79,79,27,969,36.5,26.36,
18.07.23 12:35:45,24.05,77,77,77,222.91,216.73,214.47,77,72.84,47.64,131.93,220.63,202.65,77,141.43,100.37,127.37,130.79,214.47,77,77,77,77,77,77,27,969,36.5,26.33,
18.07.23 12:36:00,24.3,78,78,78,222.58,217.06,214.15,78,73.62,50.17,122.28,220.63,203.28,78,133.36,99.56,130.22,120.87,214.47,78,78,78,78,78,78,27,969,36.5,26.35,
18.07.23 12:36:15,24.55,76,76,76,223.23,218.68,213.83,76,70.74,51.44,125.67,220.63,204.55,76,131.65,106.4,125.11,123.97,213.19,76,76,76,76,76,76,27,969,36.5,26.33,
18.07.23 12:36:30,24.8,77,77,77,222.58,218.35,213.51,77,70.22,50.17,126.24,221.28,204.23,77,130.5,117.23,123.41,120.31,213.51,77,77,77,77,77,77,27,969,36.5,26.33,
18.07.23 12:36:45,25.05,75,75,75,220.95,217.7,213.83,75,72.05,48.4,124.54,221.28,197.91,75,134.22,97.92,123.13,119.19,214.15,75,75,75,75,75,75,27,969,36.5,26.33,
18.07.23 12:37:00,25.3,76,76,76,222.58,217.38,214.8,76,67.62,48.4,125.96,219.98,198.54,76,133.08,92.78,119.47,120.31,212.22,76,76,76,76,76,76,27,969,36.5,26.33,
18.07.23 12:37:15,25.55,74,74,74,222.25,217.7,214.15,74,72.84,41.87,125.96,220.3,199.8,74,131.36,92.78,121.15,112.77,212.22,74,74,74,74,74,74,27,969,36.5,26.33,
18.07.23 12:37:30,25.8,75,75,75,221.93,217.38,214.47,75,67.36,40.87,118.63,220.63,199.8,75,133.08,92.51,117.23,113.04,212.86,75,75,75,75,75,75,27,969,36.5,26.33,
18.07.23 12:37:45,26.05,73,73,73,222.25,217.06,213.19,73,67.36,41.62,117.51,220.3,199.49,73,123.13,90.89,116.67,115.83,213.19,73,73,73,73,73,73,27,969,36.5,26.33,
18.07.23 12:38:00,26.3,74,74,74,221.28,217.7,214.47,74,73.36,43.37,109.16,219.65,201.7,74,125.11,89.28,116.11,112.21,213.51,74,74,74,74,74,74,27,969,36.5,26.33,
18.07.23 12:38:15,26.55,72,72,72,221.93,217.7,214.8,72,67.88,41.87,119.19,219.33,199.49,72,122,95.21,115.55,109.72,212.86,72,72,72,72,72,72,27,969,36.5,26.33,
18.07.23 12:38:30,26.8,73,73,73,222.58,218.03,213.51,73,66.32,47.9,108.61,219.98,198.22,73,114.99,97.38,114.71,110.55,213.19,73,73,73,73,73,73,27,969,36.5,26.33,
18.07.23 12:38:45,27.05,71,71,71,221.93,217.06,213.83,71,72.57,42.12,108.06,219.65,195.4,71,114.44,89.55,110.82,110.27,212.22,71,71,71,71,71,71,27,969,36.5,26.33,
18.07.23 12:39:00,27.3,72,72,72,221.93,216.73,213.83,72,73.36,40.87,108.61,219.65,197.28,72,114.16,92.24,112.21,106.13,213.51,72,72,72,72,72,72,27,969,36.5,26.33,
18.07.23 12:39:15,27.55,70,70,70,222.58,217.38,213.19,70,73.62,38.12,103.93,219.98,193.83,70,116.39,78.62,109.99,111.1,213.19,70,70,70,70,70,70,27,969,36.5,26.33,
18.07.23 12:39:30,27.8,71,71,71,222.58,216.73,213.83,71,68.4,37.38,104.48,219.33,195.08,71,115.55,76.25,110.82,104.75,211.9,71,71,71,71,71,71,27,969,36.5,26.33,
18.07.23 12:39:45,28.05,69,69,69,221.93,217.38,213.19,69,79.68,37.88,102.56,218.68,192.27,69,116.11,75.72,112.77,103.66,212.86,69,69,69,69,69,69,27,969,36.5,26.35,
18.07.23 12:40:00,28.3,70,70,70,222.91,217.38,213.51,70,75.2,42.87,105.58,220.3,194.14,70,116.67,85.26,111.1,118.63,212.86,70,70,70,70,70,70,27,969,36.5,26.32,
18.07.23 12:40:15,28.55,68,68,68,222.58,217.7,213.51,68,79.15,44.87,108.61,219.33,193.52,68,109.99,83.66,109.72,109.44,213.83,68,68,68,68,68,68,27,969,36.5,26.33,
18.07.23 12:40:30,28.8,69,69,69,222.58,217.06,213.51,69,80.21,40.87,98.19,219,193.83,69,108.33,72.05,109.72,106.4,212.86,69,69,69,69,69,69,27,969,36.5,26.33,
18.07.23 12:40:45,29.05,67,67,67,221.93,217.7,214.47,67,82.07,37.63,100.65,218.68,194.46,67,109.16,71.53,110.55,105.03,214.15,67,67,67,67,67,67,27,969,36.5,26.33,
18.07.23 12:41:00,29.3,68,68,68,221.93,218.03,214.8,68,68.66,37.38,95.48,219,196.34,68,108.61,74.15,110.55,104.75,213.83,68,68,68,68,68,68,27,969,36.5,26.33,
18.07.23 12:41:15,29.55,66,66,66,222.58,217.38,213.19,66,72.57,37.13,105.03,218.68,193.83,66,113.04,71.01,109.99,104.2,212.54,66,66,66,66,66,66,27,969,36.5,26.35,
18.07.23 12:41:30,29.8,67,67,67,221.93,217.06,213.83,67,70.48,35.64,93.59,218.35,195.71,67,114.99,83.13,109.16,104.75,212.54,67,67,67,67,67,67,27,969,36.5,26.33,
18.07.23 12:41:45,30.05,65,65,65,221.28,217.38,213.51,65,63.73,35.64,96.29,218.03,195.71,65,115.27,71.53,111.38,105.58,211.9,65,65,65,65,65,65,27,969,36.5,26.35,
18.07.23 12:42:00,30.3,66,66,66,221.6,217.06,213.19,66,68.4,38.62,91.16,218.68,192.58,66,113.88,70.48,113.04,100.92,213.51,66,66,66,66,66,66,27,969,36.5,26.33,
